nctId,ctgov_url,primary_endpoint_met,outcome_label_human,failure_reason_human,endpoint_name,p_value_or_CI,notes,ai_confidence,has_resultsSection
NCT05888103,https://clinicaltrials.gov/study/NCT05888103,U,UNCLEAR,UNCLEAR,Percentage Change in Low-density Lipoprotein Cholesterol (LDL-C) (mg/dL) From Baseline at Day 150 - Core Analysis: Core Part,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Percentage Change in Low-density Lipoprotein Cholesterol (LDL-C) (mg/dL) From Baseline at Day 150 - Core Analysis: Core Part'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT04560998,https://clinicaltrials.gov/study/NCT04560998,U,UNCLEAR,UNCLEAR,Change in Maximum Walking Distance on a Constant Load Treadmill Test,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Change in Maximum Walking Distance on a Constant Load Treadmill Test'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT04471792,https://clinicaltrials.gov/study/NCT04471792,U,UNCLEAR,UNCLEAR,Walking Distance,p=0.883,"Auto-extracted from CT.gov results/outcomes text. endpoint='Walking Distance'. signals: pem=U, label=UNCLEAR. p=0.883",LOW,1
NCT04873934,https://clinicaltrials.gov/study/NCT04873934,U,UNCLEAR,UNCLEAR,Percent Change From Baseline to Day 330 in LDL-C,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Percent Change From Baseline to Day 330 in LDL-C'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT06005597,https://clinicaltrials.gov/study/NCT06005597,U,UNCLEAR,UNCLEAR,Effect of Fixed-Dose Combination (FDC) Compared to Placebo on LDL-C,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Effect of Fixed-Dose Combination (FDC) Compared to Placebo on LDL-C'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT01064440,https://clinicaltrials.gov/study/NCT01064440,U,UNCLEAR,UNCLEAR,Number of Participants With Treatment-emergent Adverse Events Following Intramuscular Administration of 8 and 16 mg Engensis (VM202) or Placebo in Subjects With Critical Limb Ischemia.,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Number of Participants With Treatment-emergent Adverse Events Following Intramuscular Administration of 8 and 16 mg Engensis (VM202) or Placebo in Subjects With Critical Limb Ischemia.'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT05142722,https://clinicaltrials.gov/study/NCT05142722,U,UNCLEAR,UNCLEAR,Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 84 [PUC],,"Auto-extracted from CT.gov results/outcomes text. endpoint='Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 84 [PUC]'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT05761444,https://clinicaltrials.gov/study/NCT05761444,U,UNCLEAR,UNCLEAR,Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol at Week 6,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol at Week 6'. signals: pem=U, label=UNCLEAR.",LOW,1
NCT02807779,https://clinicaltrials.gov/study/NCT02807779,U,UNCLEAR,UNCLEAR,Change in Percent Wall Volume (PWV),p=0.05,"Auto-extracted from CT.gov results/outcomes text. endpoint='Change in Percent Wall Volume (PWV)'. signals: pem=U, label=UNCLEAR. p=0.05",LOW,1
NCT05537571,https://clinicaltrials.gov/study/NCT05537571,U,UNCLEAR,UNCLEAR,Time-averaged Percent Change In Lipoprotein(a) Molar Concentration From Baseline to Week 36,,"Auto-extracted from CT.gov results/outcomes text. endpoint='Time-averaged Percent Change In Lipoprotein(a) Molar Concentration From Baseline to Week 36'. signals: pem=U, label=UNCLEAR.",LOW,1
