nctId,ctgov_url,endpoint_name_hint,primary_outcome_title,primary_outcome_timeframe,primary_outcome_desc,primary_outcome_pvalues,primary_outcome_has_analysis,primary_endpoint_met_ctgov,outcome_label_ctgov,ai_confidence_ctgov,notes_ctgov
NCT05888103,https://clinicaltrials.gov/study/NCT05888103,Percentage Change in Low-density Lipoprotein Cholesterol (LDL-C) (mg/dL) From Baseline at Day 150 - Core Analysis: Core Part,Percentage Change in Low-density Lipoprotein Cholesterol (LDL-C) (mg/dL) From Baseline at Day 150 - Core Analysis: Core Part,"Baseline, Day 150","Low-density lipoprotein cholesterol is a type of lipoprotein in the blood. Lipoproteins are particles made of lipids(fats) and proteins that carry fats through the bloodstream. Because of their structure, fats can't move through the blood on their own. So, lipoproteins carry fats to various cells in the body.",p=0.0001,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001
NCT04560998,https://clinicaltrials.gov/study/NCT04560998,Change in Maximum Walking Distance on a Constant Load Treadmill Test,Change in Maximum Walking Distance on a Constant Load Treadmill Test,"Baseline (week 0), end of treatment (week 52)","Change in maximum walking distance on a constant load treadmill test is presented. The constant-load treadmill test with fixed speed (3.2 km/h, 2 mph) and fixed inclination (12%) is a standardised method for functional assessment of patients with peripheral artery disease. Participants continue on the treadmill after indicating onset of pain and should continue as long as possible until pain limits further activity. This distance is noted as the maximum walking distance. The outcome measure was evaluated based on data from in-study observation period. In-study observation period is defined as the period from date of randomisation to one of the following dates, whichever comes first: date of follow-up visit, date when participant withdrew consent, date of last contact with participant for participants who were lost to follow-up (participant did not complete the trial and did not withdraw consent), date of death.",p=0.0004,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0004
NCT04471792,https://clinicaltrials.gov/study/NCT04471792,Walking Distance,Walking Distance,Baseline and after 4 weeks of intervention,6-minute walking test. This test measures the distance (in meters) that a patient can walk in 6 minutes.,p=0.38,1,N,NEGATIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.38
NCT04873934,https://clinicaltrials.gov/study/NCT04873934,Percent Change From Baseline to Day 330 in LDL-C,Percent Change From Baseline to Day 330 in LDL-C,Baseline and Day 330,Percent change from baseline in Low-Density Lipoprotein Cholesterol (LDL-C) at Day 330,p=0.001,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001
NCT06005597,https://clinicaltrials.gov/study/NCT06005597,Effect of Fixed-Dose Combination (FDC) Compared to Placebo on LDL-C,Effect of Fixed-Dose Combination (FDC) Compared to Placebo on LDL-C,84 Days,LS mean percent change in low-density lipoprotein cholesterol (LDL-C) from baseline to Day 84 in the obicetrapib 10 mg/ezetimibe 10 mg fixed-dose combination (FDC) group compared to the placebo group. LDL-C level was measured by preparative ultracentrifugation (PUC).,p=0.0001,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001
NCT01064440,https://clinicaltrials.gov/study/NCT01064440,Number of Participants With Treatment-emergent Adverse Events Following Intramuscular Administration of 8 and 16 mg Engensis (VM202) or Placebo in Subjects With Critical Limb Ischemia.,Number of Participants With Treatment-emergent Adverse Events Following Intramuscular Administration of 8 and 16 mg Engensis (VM202) or Placebo in Subjects With Critical Limb Ischemia.,"Baseline - Days 0, 14, 28, 42, 49, 90, 180, 270 and 365","The number of participants with treatment-emergent adverse events (TEAEs), defined as adverse events occurring after the first injection of Engensis (VM202), was assessed in moderate or high-risk Critical Limb Ischemia subjects.",,0,U,UNCLEAR,LOW,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).
NCT05142722,https://clinicaltrials.gov/study/NCT05142722,Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 84 [PUC],Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 84 [PUC],84 Days,LS mean percent change from baseline to Day 84 in Low-Density Lipoprotein Cholesterol (LDL-C) in the obicetrapib group compared to the placebo group \[PUC\]. LDL-C level was measured by preparative ultracentrifugation (PUC).,p=0.0001,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001
NCT05761444,https://clinicaltrials.gov/study/NCT05761444,Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol at Week 6,Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol at Week 6,Baseline (Day 1) and Week 6,Blood samples were collected to determine the LDL-C values. The percentage change from baseline was defined as 100 x (LDL-C value at 6 weeks - LDL-C value at baseline)/LDL-C value at baseline. Baseline was defined as the last non-missing measurement taken prior to reference start date.,p=0.0001,1,Y,POSITIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001
NCT02807779,https://clinicaltrials.gov/study/NCT02807779,Change in Percent Wall Volume (PWV),Change in Percent Wall Volume (PWV),From Post-Operative Day One to 12 Months,The change in percent wall volume (PWV) of the treated segment between the postoperative and 12 month time points as measured by MRI,p=0.22,1,N,NEGATIVE,MED,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.22
NCT05537571,https://clinicaltrials.gov/study/NCT05537571,Time-averaged Percent Change In Lipoprotein(a) Molar Concentration From Baseline to Week 36,Time-averaged Percent Change In Lipoprotein(a) Molar Concentration From Baseline to Week 36,Week 36,"Clinical trial results (relative to Day 1 pre-dose) was calculated for each participant by estimating the sum of the area under the curve with the linear trapezoidal method for all scheduled assessments from Week 4 to Week 36, inclusive, divided by the total time interval between the Week 4 and Week 36 assessments. Analysis of variance was used to test for differences between each active treatment group and the pooled placebo groups in the primary outcome measure. Time-averaged percent change in lipoprotein(a) to Week 36 was the dependent variable, and treatment group was included as the predictor variable. The least squares means, standard errors, and 2-sided 95% confidence intervals for each treatment group and for the pairwise comparisons between the SLN360 and placebo groups were estimated.","p=0.0001, p=0.0001, p=0.0001",1,Y,POSITIVE,MED,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001, p=0.0001"
