nctId,briefTitle,phases,has_resultsSection,primary_outcomes_extracted,stats_or_conclusion_snippets,auto_suggest_outcome_label,auto_suggest_confidence,ctgov_url,error
NCT05888103,Efficacy and Safety of Inclisiran as Monotherapy in Chinese Adults With Low or Moderate ASCVD Risk and Elevated Low-density Lipoprotein Cholesterol.,PHASE3,1.0,"Percentage Change in Low-density Lipoprotein Cholesterol (LDL-C) (mg/dL) From Baseline at Day 150 - Core Analysis: Core Part | Baseline, Day 150 | Low-density lipoprotein cholesterol is a type of lipoprotein in the blood. Lipoproteins are particles made of lipids(fats) and proteins that carry fats t",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT05888103,
NCT04560998,A Research Study to Compare a Medicine Called Semaglutide Against Placebo in People With Peripheral Arterial Disease and Type 2 Diabetes,PHASE3,1.0,"Change in Maximum Walking Distance on a Constant Load Treadmill Test | Baseline (week 0), end of treatment (week 52) | Change in maximum walking distance on a constant load treadmill test is presented. The constant-load treadmill test with fixed speed (3.2 km/h, 2 mph) and fixed inclination (12%) is",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04560998,
NCT04471792,Creatine Use and Muscle Stretching in Peripheral Artery Disease,PHASE2,1.0,Walking Distance | Baseline and after 4 weeks of intervention | 6-minute walking test. This test measures the distance (in meters) that a patient can walk in 6 minutes.,e vs. post differences and creatine vs. placebo differences were examined ANOVA p=0.883 when comparing effect of creatine to palcebo on rate/change in reperfusion slop,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04471792,
NCT04873934,Management of LDL-cholesterol With Inclisiran + Usual Care Compared to Usual Care Alone in Participants With a Recent Acute Coronary Syndrome,PHASE3,1.0,Percent Change From Baseline to Day 330 in LDL-C | Baseline and Day 330 | Percent change from baseline in Low-Density Lipoprotein Cholesterol (LDL-C) at Day 330 || Achievement of LDL-C < 70 mg/dL at Day 330 | Day 330 | Percentage of participants achieving Low-Density Lipoprotein Cholesterol (LDL-C) \< 70 mg/dL at Day 330,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04873934,
NCT06005597,Study of Obicetrapib & Ezetimibe Fixed Dose Combination on Top of Maximum Tolerated Lipid-Modifying Therapies,PHASE3,1.0,Effect of Fixed-Dose Combination (FDC) Compared to Placebo on LDL-C | 84 Days | LS mean percent change in low-density lipoprotein cholesterol (LDL-C) from baseline to Day 84 in the obicetrapib 10 mg/ezetimibe 10 mg fixed-dose combination (FDC) group compared to the placebo group. LDL-C level was mea || Effect of Fixed Dose Combination (FDC) Compared to Ezetimibe Monotherapy on LDL-C | 84 Days | LS mean percent change in low-density lipoprotein cholesterol (LDL-C) from baseline to Day 84 in the obicetrapib 10 mg/ezetimibe 10 mg fixed-dose combination (FDC) group compared to the ezetimibe monotherap || Effect of Fixed Dose Combination (FDC) Compared to Obicetrapib Monotherapy on LDL-C | 84 Days | LS mean percent change in low-density lipoprotein cholesterol (LDL-C) from baseline to Day 84 in the obicetrapib 10 mg/ezetimibe 10 mg fixed-dose combination (FDC) group compared to the obicetrapib monoth || Effect of Obicetrapib Monotherapy Compared to Placebo on LDL-C | 84 Days | LS mean percent change in low-density lipoprotein cholesterol (LDL-C) from baseline to Day 84 in the obicetrapib 10 mg group compared to the placebo group. LDL-C level was measured by preparative ultracentrifugation (PUC).,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT06005597,
NCT01064440,Safety and Efficacy Study Using Gene Therapy for Critical Limb Ischemia,PHASE2,1.0,"Number of Participants With Treatment-emergent Adverse Events Following Intramuscular Administration of 8 and 16 mg Engensis (VM202) or Placebo in Subjects With Critical Limb Ischemia. | Baseline - Days 0, 14, 28, 42, 49, 90, 180, 270 and 365 | The number of participants with treatment-emergent adve || Change From Baseline in Visual Analog Scale (VAS) for Pain | Days 0, 90, 180, 270, and 365 | The Visual Analog Scale (VAS) for Pain scoring instrument is a 10 cm line, oriented horizontally, with the left end score of ""0"" indicating ""no pain"", and the right end score of ""10"" representing ""pain as ba",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT01064440,
NCT05142722,Randomized Study to Evaluate the Effect of Obicetrapib on Top of Maximum Tolerated Lipid-Modifying Therapies,PHASE3,1.0,Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 84 [PUC] | 84 Days | LS mean percent change from baseline to Day 84 in Low-Density Lipoprotein Cholesterol (LDL-C) in the obicetrapib group compared to the placebo group \[PUC\]. LDL-C level was measured by preparativ,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT05142722,
NCT05761444,Effectiveness and Safety Study of Early add-on of Ezetimibe With Atorvastatin in Very High-risk Patients,PHASE4,1.0,Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol at Week 6 | Baseline (Day 1) and Week 6 | Blood samples were collected to determine the LDL-C values. The percentage change from baseline was defined as 100 x (LDL-C value at 6 weeks - LDL-C value at baseline)/LDL-C value at base,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT05761444,
NCT02807779,Intima Versus Adventitia Drug Delivery to Elucidate Mechanisms of Restenosis: Magnetic Resonance Imaging,PHASE4,1.0,Change in Percent Wall Volume (PWV) | From Post-Operative Day One to 12 Months | The change in percent wall volume (PWV) of the treated segment between the postoperative and 12 month time points as measured by MRI,ing OTHER_PRE_SPECIFIED Fisher Exact Threshold for statistical significance was p=0.05. 0.81 SUPERIORITY OG002 OG001 OG000 1 OG002 4 OG001 4 OG000 1 OG002 9 OG001 10 ,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02807779,
NCT05537571,Evaluate SLN360 in Participants With Elevated Lipoprotein(a) at High Risk of Atherosclerotic Cardiovascular Disease Events,PHASE2,1.0,Time-averaged Percent Change In Lipoprotein(a) Molar Concentration From Baseline to Week 36 | Week 36 | Clinical trial results (relative to Day 1 pre-dose) was calculated for each participant by estimating the sum of the area under the curve with the linear trapezoidal method for all scheduled asses,,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT05537571,
NCT04992065,A Research Study Looking at How NNC0385-0434 Tablets Work to Lower Blood Cholesterol in People With Heart Disease or a High Risk of Heart Disease,PHASE2,1.0,"Percentage Change in Low-density Lipoprotein (LDL)-Cholesterol | Baseline (week 0), week 12 | Percentage change in LDL-cholesterol (LDL-C) (measured in milligrams per deciliter \[mg/dL\]) at week 12 is presented. Data is reported for the on-treatment period. The on-treatment period is the time perio",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04992065,
NCT04929249,"A Randomized Study to Evaluate the Effect of an ""Inclisiran First"" Implementation Strategy Compared to Usual Care in Patients With Atherosclerotic Cardiovascular Disease and Elevated LDL-C Despite Receiving Maximally Tolerated Statin Therapy (VICTORION-INITIATE)",PHASE3,1.0,"Percent Change From Baseline in LDL-C | Baseline, Day 330 | Percent change from baseline in Low-Density Lipoprotein Cholesterol (LDL-C) of an ""inclisiran first"" implementation strategy compared to usual care at Day 330. || Percentage of Participants Who Discontinued Statin Therapy | Day 330 | Percentage of patients who discontinued statin therapy ≥ 30 days before the end-of-study visit of an ""inclisiran first"" implementation strategy compared to usual care, for patients in the FAS excluding those with a medical histor",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04929249,
NCT04270760,Olpasiran Trials of Cardiovascular Events And LipoproteiN(a) Reduction - DOSE Finding Study,PHASE2,1.0,"Percentage Change From Baseline in Lipoprotein(a) (Lp[a]) at Week 36 | Baseline and Week 36 | Least squares mean is from the repeated measures linear effects model which includes treatment group, stratification factors, scheduled visit and the interaction of treatment group with scheduled visit.",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04270760,
NCT02887859,Humacyte's HAV for Femoro-Popliteal Bypass in Patients With PAD,PHASE2,1.0,"Number of Participants With Aneurysm Formation, Anastomotic Bleeding or Spontaneous Rupture, HAV Infection, HAV Removal, and Significant Inflammation at the HAV Implantation Site | 12 months || Number of Participants With Adverse Events | 12 months || Number of Participants With HAV Patency Rates (Primary, Primary-assisted, Secondary) | 12 months | Primary patency = patent (""open"" to blood flow) without any interventions; Primary-assisted patency = patent without an intervention to clear a thrombus; Secondary patency = patent with or without inte || Number of Participants With Hemodynamically Significant Stenosis (>70% by Duplex Ultrasound Criteria) | 12 months",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT02887859,
NCT05563246,A Study of LY3473329 in Adult Participants With Elevated Lipoprotein(a) at High Risk for Cardiovascular Events,PHASE2,1.0,"Percent Change From Baseline in Lp(a) - Assessed Via Intact Lp(a) Assay | Baseline, Week 12 | Least Squares Mean (LS Mean) was calculated using a Mixed Model for Repeated Measures (MMRM): Log (Actual Measurement/Baseline) = Log (Baseline) + Country + Treatment + Time + Treatment\*Time. || Percent Change From Baseline in Lp(a) - Assessed Via Apo(a) Assay | Baseline, Week 12 | LS Mean was calculated using a MMRM: Log (Actual Measurement/Baseline) = Log (Baseline) + Country + Treatment + Time + Treatment\*Time.",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT05563246,
NCT03018366,"Atherosclerosis, Immune Mediated Inflammation and Hypoestrogenemia in Young Women",PHASE2,1.0,"Rate of Change of Reactive Hyperemia Index (RHI) by Peripheral Arterial Tonometry | Baseline, week 12 on trial | Change in PAT measured as reactive hyperemia index (RHI) from baseline to week 12 on treatment or placebo. Reactive hyperemia index (RHI) is the post-to-pre occlusion PAT signal ratio in ",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT03018366,
NCT04881110,Liraglutide and Peripheral Artery Disease,PHASE4,1.0,Peripheral Transcutaneous Oxygen Pressure | 6 months | Transcutaneous oxygen pressure (mmHg) on the lowest value recorded on anterior or posterior tibial artery after 6 months, reached the primary end point after the intervention. Relative risks (RRs) and 95%Cis were calculated to demonstrate the relationship between the intervention and t,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04881110,
NCT04610892,Efficacy and Safety of MEDI6570 in Patients With a History of Myocardial Infarction,PHASE2,1.0,"Change From Baseline to Day 253 in Non-calcified Plaque Volume in the Most Diseased Coronary Segment (NCPVMD), as Measured by Computed Tomography Angiography (CTA) Imaging | From baseline to Day 253 | To evaluate the effect of MEDI6570 on non-calcified coronary atherosclerotic plaques compared with ",,UNCLEAR,LOW (auto),https://clinicaltrials.gov/study/NCT04610892,
