nctId,briefTitle,phase,leadSponsor,conditions,ctgov_url,drug_raw,drug_normalized,intervention_type
NCT00799903,"LPL100601, A Clinical Outcomes Study of Darapladib Versus Placebo in Subjects With Chronic Coronary Heart Disease to Compare the Incidence of Major Adverse Cardiovascular Events (MACE)",PHASE3,GlaxoSmithKline,Atherosclerosis,https://clinicaltrials.gov/study/NCT00799903,Darapladib,darapladib,DRUG
NCT00799903,"LPL100601, A Clinical Outcomes Study of Darapladib Versus Placebo in Subjects With Chronic Coronary Heart Disease to Compare the Incidence of Major Adverse Cardiovascular Events (MACE)",PHASE3,GlaxoSmithKline,Atherosclerosis,https://clinicaltrials.gov/study/NCT00799903,Placebo,placebo,DRUG
NCT01000727,A Clinical Outcomes Study of Darapladib Versus Placebo in Subjects Following Acute Coronary Syndrome to Compare the Incidence of Major Adverse Cardiovascular Events (MACE).,PHASE3,GlaxoSmithKline,Acute Coronary Syndrome,https://clinicaltrials.gov/study/NCT01000727,Darapladib 160 mg,darapladib 160 mg,DRUG
NCT01000727,A Clinical Outcomes Study of Darapladib Versus Placebo in Subjects Following Acute Coronary Syndrome to Compare the Incidence of Major Adverse Cardiovascular Events (MACE).,PHASE3,GlaxoSmithKline,Acute Coronary Syndrome,https://clinicaltrials.gov/study/NCT01000727,Placebo,placebo,DRUG
NCT01687998,Assessment of Clinical Effects of Cholesteryl Ester Transfer Protein Inhibition With Evacetrapib in Patients at a High-Risk for Vascular Outcomes,PHASE3,Eli Lilly and Company,Cardiovascular Diseases,https://clinicaltrials.gov/study/NCT01687998,Evacetrapib,evacetrapib,DRUG
NCT01687998,Assessment of Clinical Effects of Cholesteryl Ester Transfer Protein Inhibition With Evacetrapib in Patients at a High-Risk for Vascular Outcomes,PHASE3,Eli Lilly and Company,Cardiovascular Diseases,https://clinicaltrials.gov/study/NCT01687998,Placebo,placebo,DRUG
NCT01130246,VISTA-16 Trial: Evaluation of the Safety and Efficacy of Short-Term A-002 Treatment in Subjects With Acute Coronary Syndromes,PHASE3,Anthera Pharmaceuticals,Acute Coronary Syndrome,https://clinicaltrials.gov/study/NCT01130246,"A-002, varespladib methyl",a-002 varespladib methyl,DRUG
NCT01130246,VISTA-16 Trial: Evaluation of the Safety and Efficacy of Short-Term A-002 Treatment in Subjects With Acute Coronary Syndromes,PHASE3,Anthera Pharmaceuticals,Acute Coronary Syndrome,https://clinicaltrials.gov/study/NCT01130246,Placebo,placebo,DRUG
NCT00658515,"A Randomized, Double-blind, Placebo-controlled Study Assessing the Effect of RO4607381 on Cardiovascular Mortality and Morbidity in Clinically Stable Patients With a Recent Acute Coronary Syndrome",PHASE3,Hoffmann-La Roche,Coronary Heart Disease,https://clinicaltrials.gov/study/NCT00658515,Dalcetrapib (RO4607381),dalcetrapib ro4607381,DRUG
NCT00658515,"A Randomized, Double-blind, Placebo-controlled Study Assessing the Effect of RO4607381 on Cardiovascular Mortality and Morbidity in Clinically Stable Patients With a Recent Acute Coronary Syndrome",PHASE3,Hoffmann-La Roche,Coronary Heart Disease,https://clinicaltrials.gov/study/NCT00658515,Evidence-based medical care for Acute Coronary Syndrome,evidence-based medical care for acute coronary syndrome,DRUG
