nctId,briefTitle,overallStatus,phase,studyType,leadSponsor,conditions,drug_raw,drug_normalized,intervention_type,arm_label,arm_type,role,is_candidate_drug,is_combo,outcome_label_mvp,outcome_confidence_mvp,has_resultsSection,primary_endpoint_met_final,outcome_label_final,confidence_final,evidence_source,primary_outcome_title,primary_outcome_timeframe,primary_outcome_pvalues,notes_ctgov,pubmed_pmids,notes_pubmed
NCT06431763,A Study to Investigate LDL-cholesterol Lowering With Inclisiran Compared to Bempedoic Acid in Patients With Atherosclerotic Cardiovascular Disease.,COMPLETED,PHASE4,INTERVENTIONAL,Novartis Pharmaceuticals,Hypercholesterolemia,Inclisiran sodium,inclisiran sodium,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT06431763,A Study to Investigate LDL-cholesterol Lowering With Inclisiran Compared to Bempedoic Acid in Patients With Atherosclerotic Cardiovascular Disease.,COMPLETED,PHASE4,INTERVENTIONAL,Novartis Pharmaceuticals,Hypercholesterolemia,BPA,bpa,DRUG,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT05888103,Efficacy and Safety of Inclisiran as Monotherapy in Chinese Adults With Low or Moderate ASCVD Risk and Elevated Low-density Lipoprotein Cholesterol.,COMPLETED,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Primary Hypercholesterolemia or Mixed Dyslipidemia,Inclisiran,inclisiran,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change in Low-density Lipoprotein Cholesterol (LDL-C) (mg/dL) From Baseline at Day 150 - Core Analysis: Core Part,"Baseline, Day 150",p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT05888103,Efficacy and Safety of Inclisiran as Monotherapy in Chinese Adults With Low or Moderate ASCVD Risk and Elevated Low-density Lipoprotein Cholesterol.,COMPLETED,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Primary Hypercholesterolemia or Mixed Dyslipidemia,Matching Placebo for Inclisiran,matching placebo for inclisiran,DRUG,,,OTHER,1,1,UNCLEAR,LOW,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change in Low-density Lipoprotein Cholesterol (LDL-C) (mg/dL) From Baseline at Day 150 - Core Analysis: Core Part,"Baseline, Day 150",p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT01778569,"The Psoriasis, Atherosclerosis, and Cardiometabolic Disease Initiative (PACI)",COMPLETED,,OBSERVATIONAL,"National Heart, Lung, and Blood Institute (NHLBI)",Metabolic Disease | Cardiovascular Disease | Inflammation | Psoriasis,"Michael N Sack, M.D.",michael n sack m.d.,UNKNOWN,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT04316676,The MATCH Investigation: CT Myocardial Perfusion and CT-FFR vs PET MPI,COMPLETED,,INTERVENTIONAL,Emory University,Coronary Artery Disease,Regadenoson,regadenoson,DRUG,,,OTHER,1,0,UNCLEAR,LOW,1,,,,,,,,,,
NCT02311335,Genes Involved in Lipid Disorders,COMPLETED,,OBSERVATIONAL,"National Heart, Lung, and Blood Institute (NHLBI)",Lipid Disorders,"Robert D Shamburek, M.D.",robert d shamburek m.d.,UNKNOWN,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT06626659,Lipoprotein (a) and Vascular Regenerative Cell Content,COMPLETED,,OBSERVATIONAL,Canadian Medical and Surgical Knowledge Translation Research Group,Cardiovascular Diseases | Atherosclerosis Cardiovascular Disease | Ischemic Heart Disease | Dyslipidemia,"Subodh Verma, MD",subodh verma md,UNKNOWN,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT06626659,Lipoprotein (a) and Vascular Regenerative Cell Content,COMPLETED,,OBSERVATIONAL,Canadian Medical and Surgical Knowledge Translation Research Group,Cardiovascular Diseases | Atherosclerosis Cardiovascular Disease | Ischemic Heart Disease | Dyslipidemia,"David A Hess, PhD",david a hess phd,UNKNOWN,,,OTHER,1,1,NO_RESULTS,HIGH,0,,,,,,,,,,
NCT04053166,Individualized Physical Activity and Carotid Plaque Instability,COMPLETED,,INTERVENTIONAL,Hospices Civils de Lyon,Carotid Atherosclerosis,blood sampling,blood sampling,BIOLOGICAL,,,OTHER,1,0,NO_RESULTS,HIGH,0,,,,,,,,,,
