nctId,briefTitle,overallStatus,phases,studyType,has_resultsSection,mvp_outcome_label,mvp_outcome_confidence,pass_interventional,pass_phase23,primary_endpoint_met_final,outcome_label_final,confidence_final,evidence_source,primary_outcome_title,primary_outcome_timeframe,primary_outcome_pvalues,notes_ctgov,pubmed_pmids,notes_pubmed
NCT07141914,A Master Protocol for Semaglutide Effects on Cardiovascular and Obesity-related Outcomes in People With Overweight or Obesity in the Real World,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05372952,An Investigator Initiated Trial to Evaluate the Safety and Feasibility of the DyNETIC-35 Stent for Iliac Lesions Via a Trans-radial Approach,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT03445754,Effect of Transcutaneous Vagal Stimulation (TVS) on Endothelial Function in PAD,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT03807661,Percutaneous Deep Vein Arterialization Post-Market Study,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT06431763,A Study to Investigate LDL-cholesterol Lowering With Inclisiran Compared to Bempedoic Acid in Patients With Atherosclerotic Cardiovascular Disease.,COMPLETED,PHASE4,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,1,,,,,,,,,,
NCT03982420,The ENROUTE Transcarotid Neuroprotection System (ENROUTE Transcarotid NPS) DW-MRI Evaluation,COMPLETED,,OBSERVATIONAL,1,UNCLEAR,LOW,0,0,,,,,,,,,,
NCT06261723,Effect of Non-chirurgical Periodontal Treatment on the Immune System From a Gender Perspective,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05888103,Efficacy and Safety of Inclisiran as Monotherapy in Chinese Adults With Low or Moderate ASCVD Risk and Elevated Low-density Lipoprotein Cholesterol.,COMPLETED,PHASE3,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change in Low-density Lipoprotein Cholesterol (LDL-C) (mg/dL) From Baseline at Day 150 - Core Analysis: Core Part,"Baseline, Day 150",p=0.0001,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,
NCT01778569,"The Psoriasis, Atherosclerosis, and Cardiometabolic Disease Initiative (PACI)",COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT03321552,PROMISE International,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT04316676,The MATCH Investigation: CT Myocardial Perfusion and CT-FFR vs PET MPI,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT07288164,Comparison of Eversion and Conventional Techniques in Carotid Endarterectomy,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT02311335,Genes Involved in Lipid Disorders,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT05410548,Comorbidity Screening and Referral by Prosthetists,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT05232474,Using KomPas+ in the Treatment of Patients With Intermittent Claudication,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT06626659,Lipoprotein (a) and Vascular Regenerative Cell Content,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT04536038,Framing Clinical Trial Enrollment for Patients With Peripheral Artery Disease,COMPLETED,,INTERVENTIONAL,1,UNCLEAR,LOW,1,0,,,,,,,,,,
NCT05556681,Study of BD Sirolimus Drug Coated Catheter for Treatment of Femoropopliteal Arteries,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT05877235,Serum Concentration of Endogenous Estrogens and Sirtuin-1 After Administration of Atorvastatin and Quercetin:,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT04053166,Individualized Physical Activity and Carotid Plaque Instability,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT04068909,ObseRvation After Acute Coronary Syndrome for deveLopment of trEatment Options,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT04382963,Stroke Prevention in the Wisconsin Native American Population,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT06450561,Adherence to Secondary Prevention Guidelines for Cardiovascular Risk,COMPLETED,,OBSERVATIONAL,0,NO_RESULTS,HIGH,0,0,,,,,,,,,,
NCT04560998,A Research Study to Compare a Medicine Called Semaglutide Against Placebo in People With Peripheral Arterial Disease and Type 2 Diabetes,COMPLETED,PHASE3,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,Y,POSITIVE,MED,CTGOV_STRUCTURED,Change in Maximum Walking Distance on a Constant Load Treadmill Test,"Baseline (week 0), end of treatment (week 52)",p=0.0004,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0004,,
NCT02944682,Household Air Pollution and Health: A Multi-country LPG Intervention Trial,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT07201168,Structured Educational Program vs Standard Care in Pre-surgical Critical Limb Ischemia Patients,COMPLETED,,INTERVENTIONAL,0,NO_RESULTS,HIGH,1,0,,,,,,,,,,
NCT04471792,Creatine Use and Muscle Stretching in Peripheral Artery Disease,COMPLETED,PHASE2,INTERVENTIONAL,1,UNCLEAR,LOW,1,1,N,NEGATIVE,MED,CTGOV_STRUCTURED,Walking Distance,Baseline and after 4 weeks of intervention,p=0.38,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.38,,
