nctId,ctgov_url,primary_endpoint_met_final,outcome_label_final,confidence_final,evidence_source,primary_outcome_title,primary_outcome_timeframe,primary_outcome_pvalues,primary_outcome_has_analysis,notes_ctgov,pubmed_pmids,notes_pubmed,primary_endpoint_met_ctgov,outcome_label_ctgov,ai_confidence_ctgov,primary_endpoint_met_pubmed,outcome_label_pubmed,ai_confidence_pubmed
NCT05888103,https://clinicaltrials.gov/study/NCT05888103,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change in Low-density Lipoprotein Cholesterol (LDL-C) (mg/dL) From Baseline at Day 150 - Core Analysis: Core Part,"Baseline, Day 150",p=0.0001,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,,Y,POSITIVE,MED,,,
NCT04560998,https://clinicaltrials.gov/study/NCT04560998,Y,POSITIVE,MED,CTGOV_STRUCTURED,Change in Maximum Walking Distance on a Constant Load Treadmill Test,"Baseline (week 0), end of treatment (week 52)",p=0.0004,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0004,,,Y,POSITIVE,MED,,,
NCT04471792,https://clinicaltrials.gov/study/NCT04471792,N,NEGATIVE,MED,CTGOV_STRUCTURED,Walking Distance,Baseline and after 4 weeks of intervention,p=0.38,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.38,,,N,NEGATIVE,MED,,,
NCT04873934,https://clinicaltrials.gov/study/NCT04873934,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percent Change From Baseline to Day 330 in LDL-C,Baseline and Day 330,p=0.001,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.001,,,Y,POSITIVE,MED,,,
NCT06005597,https://clinicaltrials.gov/study/NCT06005597,Y,POSITIVE,MED,CTGOV_STRUCTURED,Effect of Fixed-Dose Combination (FDC) Compared to Placebo on LDL-C,84 Days,p=0.0001,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,,Y,POSITIVE,MED,,,
NCT01064440,https://clinicaltrials.gov/study/NCT01064440,U,UNCLEAR,LOW,UNRESOLVED,Number of Participants With Treatment-emergent Adverse Events Following Intramuscular Administration of 8 and 16 mg Engensis (VM202) or Placebo in Subjects With Critical Limb Ischemia.,"Baseline - Days 0, 14, 28, 42, 49, 90, 180, 270 and 365",,0,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY).,,PubMed search by NCTId; pmids=,U,UNCLEAR,LOW,U,UNCLEAR,LOW
NCT05142722,https://clinicaltrials.gov/study/NCT05142722,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percent Change in Low-Density Lipoprotein Cholesterol (LDL-C) From Baseline to Day 84 [PUC],84 Days,p=0.0001,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,,Y,POSITIVE,MED,,,
NCT05761444,https://clinicaltrials.gov/study/NCT05761444,Y,POSITIVE,MED,CTGOV_STRUCTURED,Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol at Week 6,Baseline (Day 1) and Week 6,p=0.0001,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001,,,Y,POSITIVE,MED,,,
NCT02807779,https://clinicaltrials.gov/study/NCT02807779,N,NEGATIVE,MED,CTGOV_STRUCTURED,Change in Percent Wall Volume (PWV),From Post-Operative Day One to 12 Months,p=0.22,1,Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.22,,,N,NEGATIVE,MED,,,
NCT05537571,https://clinicaltrials.gov/study/NCT05537571,Y,POSITIVE,MED,CTGOV_STRUCTURED,Time-averaged Percent Change In Lipoprotein(a) Molar Concentration From Baseline to Week 36,Week 36,"p=0.0001, p=0.0001, p=0.0001",1,"Structured CT.gov extraction from resultsSection.outcomeMeasuresModule.outcomeMeasures (PRIMARY). p=0.0001, p=0.0001, p=0.0001",,,Y,POSITIVE,MED,,,
