feature_id	meta_logFC	meta_se	meta_z	meta_p	tau2	I2	k	fdr	n	pos	neg	sign_concordance
1007_s_at							1		1	0	1	1
1053_at							1		1	0	1	1
117_at							1		1	1	0	1
121_at							1		1	1	0	1
1255_g_at							1		1	0	1	1
1294_at							1		1	1	0	1
1316_at							1		1	0	1	1
1320_at							1		1	0	1	1
1405_i_at							1		1	1	0	1
1431_at							1		1	0	1	1
1438_at							1		1	0	1	1
1487_at							1		1	1	0	1
1494_f_at							1		1	0	1	1
1552256_a_at							1		1	1	0	1
1552257_a_at							1		1	0	1	1
1552258_at							1		1	0	1	1
1552261_at							1		1	0	1	1
1552263_at							1		1	1	0	1
1552264_a_at							1		1	0	1	1
1552266_at							1		1	0	1	1
1552269_at							1		1	0	1	1
1552271_at							1		1	0	1	1
1552272_a_at							1		1	0	1	1
1552274_at							1		1	1	0	1
1552275_s_at							1		1	0	1	1
1552276_a_at							1		1	0	1	1
1552277_a_at							1		1	1	0	1
1552278_a_at							1		1	1	0	1
1552279_a_at							1		1	0	1	1
1552280_at							1		1	1	0	1
1552281_at							1		1	1	0	1
1552283_s_at							1		1	1	0	1
1552286_at							1		1	0	1	1
1552287_s_at							1		1	0	1	1
1552288_at							1		1	1	0	1
1552289_a_at							1		1	1	0	1
1552291_at							1		1	0	1	1
1552293_at							1		1	1	0	1
1552295_a_at							1		1	0	1	1
1552296_at							1		1	0	1	1
1552299_at							1		1	0	1	1
1552301_a_at							1		1	0	1	1
1552302_at							1		1	1	0	1
1552303_a_at							1		1	1	0	1
1552304_at							1		1	1	0	1
1552306_at							1		1	1	0	1
1552307_a_at							1		1	1	0	1
1552309_a_at							1		1	0	1	1
1552310_at							1		1	0	1	1
1552311_a_at							1		1	0	1	1
1552312_a_at							1		1	1	0	1
1552314_a_at							1		1	0	1	1
1552315_at							1		1	1	0	1
1552316_a_at							1		1	1	0	1
1552318_at							1		1	1	0	1
1552319_a_at							1		1	0	1	1
1552320_a_at							1		1	0	1	1
1552321_a_at							1		1	0	1	1
1552322_at							1		1	1	0	1
1552323_s_at							1		1	0	1	1
1552325_at							1		1	1	0	1
1552326_a_at							1		1	0	1	1
1552327_at							1		1	0	1	1
1552329_at							1		1	0	1	1
1552330_at							1		1	1	0	1
1552332_at							1		1	0	1	1
1552334_at							1		1	0	1	1
1552335_at							1		1	1	0	1
1552337_s_at							1		1	0	1	1
1552338_at							1		1	0	1	1
1552340_at							1		1	1	0	1
1552343_s_at							1		1	1	0	1
1552344_s_at							1		1	0	1	1
1552347_at							1		1	0	1	1
1552348_at							1		1	1	0	1
1552349_a_at							1		1	0	1	1
1552354_at							1		1	0	1	1
1552355_s_at							1		1	1	0	1
1552359_at							1		1	1	0	1
1552360_a_at							1		1	0	1	1
1552362_a_at							1		1	1	0	1
1552364_s_at							1		1	0	1	1
1552365_at							1		1	1	0	1
1552367_a_at							1		1	1	0	1
1552368_at							1		1	0	1	1
1552370_at							1		1	0	1	1
1552372_at							1		1	1	0	1
1552373_s_at							1		1	1	0	1
1552375_at							1		1	0	1	1
1552377_s_at							1		1	1	0	1
1552378_s_at							1		1	1	0	1
1552379_at							1		1	0	1	1
1552381_at							1		1	0	1	1
1552383_at							1		1	0	1	1
1552384_a_at							1		1	0	1	1
1552386_at							1		1	1	0	1
1552388_at							1		1	0	1	1
1552389_at							1		1	0	1	1
1552390_a_at							1		1	0	1	1
1552391_at							1		1	0	1	1
1552393_at							1		1	1	0	1
1552394_a_at							1		1	1	0	1
1552395_at							1		1	0	1	1
1552396_at							1		1	1	0	1
1552398_a_at							1		1	0	1	1
1552399_a_at							1		1	0	1	1
1552400_a_at							1		1	1	0	1
1552401_a_at							1		1	1	0	1
1552402_at							1		1	0	1	1
1552405_at							1		1	0	1	1
1552408_at							1		1	1	0	1
1552409_a_at							1		1	1	0	1
1552410_at							1		1	0	1	1
1552411_at							1		1	0	1	1
1552412_a_at							1		1	1	0	1
1552414_at							1		1	0	1	1
1552415_a_at							1		1	0	1	1
1552417_a_at							1		1	0	1	1
1552418_at							1		1	1	0	1
1552419_s_at							1		1	1	0	1
1552421_a_at							1		1	1	0	1
1552422_at							1		1	1	0	1
1552423_at							1		1	1	0	1
1552424_at							1		1	1	0	1
1552425_a_at							1		1	1	0	1
1552426_a_at							1		1	1	0	1
1552427_at							1		1	1	0	1
1552430_at							1		1	1	0	1
1552432_at							1		1	0	1	1
