feature_id	meta_logFC	meta_se	meta_z	meta_p	tau2	I2	k	fdr	n	pos	neg	sign_concordance	meta_rank_up	rra_score	rra_rank_up	ensemble_rank_up
CYTH4	0.926168391282331	0.0882397501047384	10.4960450384661	9.00753996749353e-26	0.0	0.0	2	1.5928933678515601e-21	2	2	0	1	5.6548292241574305e-05	1.83607707480047e-05	0.0002891236923723913	0.0001263209122808194
CD180	0.967745919985895	0.0929811542645717	10.4079792043906	2.28010207867889e-25	0.0	0.0	2	1.73692305622866e-21	2	2	0	1	0.00011309658448314861	0.000341384312769	0.0037060400567733797	0.0011909796261702179
WDFY4	0.693490992118535	0.0667875663242854	10.3835343954787	2.9466009775424e-25	0.0	0.0	2	1.73692305622866e-21	2	2	0	1	0.00016964487672472292	5.24489384588905e-07	5.256794406770751e-05	0.0001345217969276183
FERMT2	-0.695386154857085	0.0739853535729824	-9.39897048908641	5.50995394556065e-21	0.0	0.0	2	2.43595063933236e-17	2	0	2	1	1.0	1.0	1.0	1.0
VAV1	0.71587312535608	0.0768642133284667	9.31347755160016	1.2371397947815701e-20	0.0	0.0	2	4.37551602618346e-17	2	2	0	1	0.00022619316896629722	0.0002835192929568	0.0031015086999947434	0.001088787828274831
LGALS9	0.808460380140702	0.0888522339411093	9.09893138619953	9.122495240717591e-20	0.0	0.0	2	2.68870343061416e-16	2	2	0	1	0.0002827414612078715	6.44284216943969e-05	0.0008936550491510277	0.00046601553759081834
KCNAB2	0.749192668116404	0.0829828330834662	9.02828501122452	1.74383154923573e-19	0.0	0.0	2	4.4054167309549498e-16	2	2	0	1	0.00033928975344944584	0.0009105718482446	0.007622351889817589	0.002524208394359889
CRYAB	-0.716671200724726	0.0817722250720897	-8.76423749131095	1.88045046021636e-18	0.0	0.0	2	4.156735742308271e-15	2	0	2	1	0.9998869034155169	1.0	1.0	0.9999208323908617
GRN	0.803920083977315	0.0920180789456227	8.73654496147854	2.4034827134869e-18	0.0	0.0	2	4.72257647836693e-15	2	2	0	1	0.0003958380456910201	5.33267297205983e-05	0.0007359512169479052	0.0004978719970680856
C2	1.15265969320555	0.132738906193951	8.6836612283165	3.83229067599946e-18	0.0104702009585693	0.279594312169451	2	6.160929846761311e-15	2	2	0	1	0.0005089346301741688	0.0001706957986719	0.0020238658466067393	0.00096341399510394
OSBPL3	0.874289620533494	0.100671375983994	8.68458995407489	3.80111049810087e-18	0.0	0.0	2	6.160929846761311e-15	2	2	0	1	0.00045238633793259444	3.21832514043581e-05	0.00047311149660936763	0.0004586038855356264
CAB39L	-0.960578414385883	0.111582519115756	-8.60868191539373	7.39054052504775e-18	0.0	0.0	2	1.0891193220412e-14	2	0	2	1	0.9998303551232752	1.0	1.0	0.9998812485862927
PTPN6	0.849450934427494	0.0998711413892803	8.50546937394539	1.8086236189975202e-17	0.0	0.0	2	2.46028462141171e-14	2	2	0	1	0.000565482922415743	0.0002814905388789	0.003048940755927036	0.001310520272469131
RPS6KA1	0.679915337459839	0.0805272279554832	8.44329743767794	3.08508757956808e-17	0.0	0.0	2	3.89690633979157e-14	2	2	0	1	0.0006220312146573173	4.01562185075881e-05	0.0005782473847447826	0.0006088960656835568
ARPC1B	0.530120740709542	0.0631784534711774	8.39084706230405	4.8265187224040903e-17	0.0	0.0	2	5.6901438057996e-14	2	2	0	1	0.0006785795068988917	0.0003084325387248	0.0033117804762655733	0.0014685397977088962
RAB23	-0.903821699143537	0.108520182999384	-8.32860463521953	8.18007528767228e-17	0.0	0.0	2	9.041028211699781e-14	2	0	2	1	0.9997738068310337	1.0	1.0	0.9998416647817234
KIAA0226L	0.702417532568626	0.0844806217478165	8.31454028197634	9.21086141868749e-17	0.0	0.0	2	9.581463136945271e-14	2	2	0	1	0.000735127799140466	6.34632155352576e-05	0.0008410871050833202	0.0007669155909233222
INPP5D	0.785636777442782	0.0959862351332827	8.18489001419712	2.72552457130078e-16	0.0	0.0	2	2.67767647327128e-13	2	2	0	1	0.0007916760913820402	0.0001040273702308	0.0012090627135572728	0.0009168920780346099
BTK	0.745540248771625	0.0919003003805695	8.1124897925715	4.9592939262898e-16	0.0034839182278746	0.172356038817013	2	4.61579756802678e-13	2	2	0	1	0.0008482243836236146	4.65083677209426e-05	0.0006308153288124901	0.0007830016671802771
ACTN2	-0.925857539060048	0.114349363199732	-8.09674416326108	5.64496147551522e-16	0.0	0.0	2	4.991274936650559e-13	2	0	2	1	0.9997172585387921	1.0	1.0	0.9998020809771544
SLC7A7	0.784410097330343	0.0969840315264739	8.08803351422054	6.0635723322790095e-16	0.0	0.0	2	5.10610538685819e-13	2	2	0	1	0.0009047726758651889	0.0015483509399047	0.012406034799978974	0.004355151313099324
ANGPTL1	-1.09988789321281	0.136103094979862	-8.08128495076143	6.40878631871621e-16	0.0	0.0	2	5.151498966371699e-13	2	0	2	1	0.9996607102465506	1.0	1.0	0.9997624971725854
