feature_id	GSE28829	GSE43292
1007_s_at	42230.0	33297.0
1053_at	39704.0	33297.0
117_at	3167.0	33297.0
121_at	3701.0	33297.0
1255_g_at	38178.0	33297.0
1294_at	9179.0	33297.0
1316_at	34258.0	33297.0
1320_at	54272.0	33297.0
1405_i_at	820.0	33297.0
1431_at	43510.0	33297.0
1438_at	31238.0	33297.0
1487_at	26131.0	33297.0
1494_f_at	37493.0	33297.0
1552256_a_at	839.0	33297.0
1552257_a_at	39099.0	33297.0
1552258_at	43500.0	33297.0
1552261_at	39481.0	33297.0
1552263_at	11480.0	33297.0
1552264_a_at	47110.0	33297.0
1552266_at	37666.0	33297.0
1552269_at	39524.0	33297.0
1552271_at	39480.0	33297.0
1552272_a_at	31630.0	33297.0
1552274_at	7259.0	33297.0
1552275_s_at	35262.0	33297.0
1552276_a_at	38076.0	33297.0
1552277_a_at	7811.0	33297.0
1552278_a_at	12320.0	33297.0
1552279_a_at	28607.0	33297.0
1552280_at	3589.0	33297.0
1552281_at	19979.0	33297.0
1552283_s_at	24102.0	33297.0
1552286_at	40438.0	33297.0
1552287_s_at	32954.0	33297.0
1552288_at	27118.0	33297.0
1552289_a_at	19319.0	33297.0
1552291_at	51418.0	33297.0
1552293_at	21750.0	33297.0
1552295_a_at	49917.0	33297.0
1552296_at	33378.0	33297.0
1552299_at	54401.0	33297.0
1552301_a_at	49452.0	33297.0
1552302_at	2592.0	33297.0
1552303_a_at	2397.0	33297.0
1552304_at	10385.0	33297.0
1552306_at	25706.0	33297.0
1552307_a_at	20722.0	33297.0
1552309_a_at	54464.0	33297.0
1552310_at	44694.0	33297.0
1552311_a_at	43745.0	33297.0
1552312_a_at	13052.0	33297.0
1552314_a_at	46124.0	33297.0
1552315_at	249.0	33297.0
1552316_a_at	258.0	33297.0
1552318_at	685.0	33297.0
1552319_a_at	38127.0	33297.0
1552320_a_at	36171.0	33297.0
1552321_a_at	35178.0	33297.0
1552322_at	20950.0	33297.0
1552323_s_at	34150.0	33297.0
1552325_at	10435.0	33297.0
1552326_a_at	42000.0	33297.0
1552327_at	53828.0	33297.0
1552329_at	52062.0	33297.0
1552330_at	17843.0	33297.0
1552332_at	44505.0	33297.0
1552334_at	44590.0	33297.0
1552335_at	14225.0	33297.0
1552337_s_at	28071.0	33297.0
1552338_at	36124.0	33297.0
1552340_at	19337.0	33297.0
1552343_s_at	25568.0	33297.0
1552344_s_at	50746.0	33297.0
1552347_at	49460.0	33297.0
1552348_at	22644.0	33297.0
1552349_a_at	40111.0	33297.0
1552354_at	29893.0	33297.0
1552355_s_at	25339.0	33297.0
1552359_at	13937.0	33297.0
1552360_a_at	35949.0	33297.0
1552362_a_at	14203.0	33297.0
1552364_s_at	48774.0	33297.0
1552365_at	795.0	33297.0
1552367_a_at	1757.0	33297.0
1552368_at	36772.0	33297.0
1552370_at	31107.0	33297.0
1552372_at	23120.0	33297.0
1552373_s_at	20182.0	33297.0
1552375_at	36838.0	33297.0
1552377_s_at	26410.0	33297.0
1552378_s_at	25584.0	33297.0
1552379_at	47309.0	33297.0
1552381_at	36258.0	33297.0
