drug_raw,canonical_name,rxnorm_rxcui
rosiptor,rosiptor,
odulimomab,odulimomab,
alemtuzumab,alemtuzumab,
alemtuzumab beta,alemtuzumab beta,
deslanoside,deslanoside,
digitoxin,digitoxin,
digoxin,digoxin,
acetyldigitoxin,acetyldigitoxin,
istaroxime,istaroxime,
lanatoside c,lanatoside c,
rovelizumab,rovelizumab,
cerdulatinib,cerdulatinib,
r-348,r-348,
at-9283,at-9283,
r-333,r-333,
decernotinib,decernotinib,
ritlecitinib,ritlecitinib,
ritlecitinib tosylate,ritlecitinib tosylate,
filgotinib,filgotinib,
filgotinib maleate,filgotinib maleate,
upadacitinib hemihydrate,upadacitinib hemihydrate,
deuruxolitinib phosphate,deuruxolitinib phosphate,
brensocatib,brensocatib,
tofacitinib citrate,tofacitinib citrate,
peficitinib,peficitinib,
delgocitinib,delgocitinib,
gusacitinib,gusacitinib,
izencitinib,izencitinib,
nezulcitinib,nezulcitinib,
interferon alfa-n3,interferon alfa-n3,
interferon alfa-2a,interferon alfa-2a,
interferon alfa-2b,interferon alfa-2b,
interferon beta-1a,interferon beta-1a,
peginterferon alfa-2a,peginterferon alfa-2a,
peginterferon alfa-2b,peginterferon alfa-2b,
interferon beta-1b,interferon beta-1b,
interferon alfacon-1,interferon alfacon-1,
peginterferon beta-1a,peginterferon beta-1a,
albinterferon alfa-2b,albinterferon alfa-2b,
ropeginterferon alfa-2b,ropeginterferon alfa-2b,
efalizumab,efalizumab,
lifitegrast,lifitegrast,
ccx354,ccx354,
azd4818,azd4818,
bms-817399,bms-817399,
erlizumab,erlizumab,
mlnm-2201,mlnm-2201,
bms-986020,bms-986020,
emricasan,emricasan,
sabatolimab,sabatolimab,
cobolimab,cobolimab,
lomvastomig,lomvastomig,
nivocasan,nivocasan,
belnacasan,belnacasan,
azd9056,azd9056,
ce-224535,ce-224535,
jnj-54175446,jnj-54175446,
ibrutinib,ibrutinib,
spebrutinib besylate,spebrutinib besylate,
poseltinib,poseltinib,
tirabrutinib,tirabrutinib,
acalabrutinib,acalabrutinib,
zanubrutinib,zanubrutinib,
branebrutinib,branebrutinib,
bms-986142,bms-986142,
evobrutinib,evobrutinib,
elsubrutinib,elsubrutinib,
fenebrutinib,fenebrutinib,
rilzabrutinib,rilzabrutinib,
abivertinib maleate,abivertinib maleate,
abivertinib,abivertinib,
vecabrutinib,vecabrutinib,
orelabrutinib,orelabrutinib,
pirtobrutinib,pirtobrutinib,
edralbrutinib,edralbrutinib,
tolebrutinib,tolebrutinib,
acalabrutinib maleate,acalabrutinib maleate,
