diseaseId,diseaseName,phenotypeId,phenotypeName,score
MONDO_0005148,type 2 diabetes mellitus,HP_0031819,Increased waist to hip ratio,1.0
MONDO_0005148,type 2 diabetes mellitus,HP_0000855,Insulin resistance,1.0
MONDO_0005148,type 2 diabetes mellitus,HP_0005978,Type II diabetes mellitus,1.0
MONDO_0005148,type 2 diabetes mellitus,HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0005148,type 2 diabetes mellitus,HP_0003584,Late onset,1.0
MONDO_0009734,"hyperinsulinemic hypoglycemia, familial, 1",HP_0000825,Hyperinsulinemic hypoglycemia,1.0
MONDO_0009734,"hyperinsulinemic hypoglycemia, familial, 1",HP_0001249,Intellectual disability,1.0
MONDO_0009734,"hyperinsulinemic hypoglycemia, familial, 1",HP_0001520,Large for gestational age,1.0
MONDO_0009734,"hyperinsulinemic hypoglycemia, familial, 1",HP_0001325,Hypoglycemic coma,1.0
MONDO_0009734,"hyperinsulinemic hypoglycemia, familial, 1",HP_0002173,Hypoglycemic seizures,1.0
MONDO_0009734,"hyperinsulinemic hypoglycemia, familial, 1",HP_0000007,Autosomal recessive inheritance,1.0
MONDO_0009734,"hyperinsulinemic hypoglycemia, familial, 1",HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0009734,"hyperinsulinemic hypoglycemia, familial, 1",HP_0004510,Pancreatic islet-cell hyperplasia,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0001518,Small for gestational age,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0000007,Autosomal recessive inheritance,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0100651,Type I diabetes mellitus,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0001290,Generalized hypotonia,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0012434,Delayed early-childhood social milestone development,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0003698,Difficulty standing,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0003074,Hyperglycemia,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0002919,Ketonuria,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0000006,Autosomal dominant inheritance,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0002305,Athetosis,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0001324,Muscle weakness,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0011182,Interictal epileptiform activity,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0001270,Motor delay,1.0
MONDO_0030088,"diabetes mellitus, permanent neonatal 3",HP_0003076,Glycosuria,1.0
EFO_0000400,diabetes mellitus,HP_0006279,Beta-cell dysfunction,1.0
EFO_0000400,diabetes mellitus,HP_0000855,Insulin resistance,1.0
EFO_0000400,diabetes mellitus,HP_0000819,Diabetes mellitus,1.0
EFO_0000400,diabetes mellitus,HP_0000007,Autosomal recessive inheritance,1.0
EFO_0000400,diabetes mellitus,HP_0000006,Autosomal dominant inheritance,1.0
EFO_0000400,diabetes mellitus,HP_0001993,Ketoacidosis,1.0
EFO_0000400,diabetes mellitus,HP_0001426,Non-Mendelian inheritance,1.0
EFO_0000400,diabetes mellitus,HP_0002960,Autoimmunity,1.0
MONDO_0012480,"diabetes mellitus, transient neonatal, 2",HP_0005978,Type II diabetes mellitus,1.0
MONDO_0012480,"diabetes mellitus, transient neonatal, 2",HP_0008255,Transient neonatal diabetes mellitus,1.0
MONDO_0012480,"diabetes mellitus, transient neonatal, 2",HP_0000006,Autosomal dominant inheritance,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0000006,Autosomal dominant inheritance,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0003623,Neonatal onset,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0001259,Coma,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0001257,Spasticity,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0001251,Ataxia,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0001249,Intellectual disability,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0001943,Hypoglycemia,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0002329,Drowsiness,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0000737,Irritability,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0000486,Strabismus,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0001347,Hyperreflexia,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0000825,Hyperinsulinemic hypoglycemia,1.0
EFO_0006856,leucine-induced hypoglycemia,HP_0001250,Seizure,1.0
MONDO_0100164,permanent neonatal diabetes mellitus,HP_0000007,Autosomal recessive inheritance,1.0
MONDO_0100164,permanent neonatal diabetes mellitus,HP_0000819,Diabetes mellitus,1.0
MONDO_0100164,permanent neonatal diabetes mellitus,HP_0003074,Hyperglycemia,1.0
MONDO_0100164,permanent neonatal diabetes mellitus,HP_0100651,Type I diabetes mellitus,1.0
MONDO_0100164,permanent neonatal diabetes mellitus,HP_0001518,Small for gestational age,1.0
MONDO_0100164,permanent neonatal diabetes mellitus,HP_0040217,Elevated hemoglobin A1c,1.0
MONDO_0100164,permanent neonatal diabetes mellitus,HP_0001511,Intrauterine growth retardation,1.0
MONDO_0100164,permanent neonatal diabetes mellitus,HP_0030795,Reduced C-peptide level,1.0
HP_0001943,Hypoglycemia,HP_0001249,Intellectual disability,1.0
HP_0001943,Hypoglycemia,HP_0000006,Autosomal dominant inheritance,1.0
HP_0001943,Hypoglycemia,HP_0001259,Coma,1.0
HP_0001943,Hypoglycemia,HP_0001250,Seizure,1.0
HP_0001943,Hypoglycemia,HP_0002329,Drowsiness,1.0
HP_0001943,Hypoglycemia,HP_0001257,Spasticity,1.0
HP_0001943,Hypoglycemia,HP_0001347,Hyperreflexia,1.0
HP_0001943,Hypoglycemia,HP_0000737,Irritability,1.0
HP_0001943,Hypoglycemia,HP_0001943,Hypoglycemia,1.0
HP_0001943,Hypoglycemia,HP_0000486,Strabismus,1.0
HP_0001943,Hypoglycemia,HP_0000825,Hyperinsulinemic hypoglycemia,1.0
HP_0001943,Hypoglycemia,HP_0003623,Neonatal onset,1.0
HP_0001943,Hypoglycemia,HP_0001251,Ataxia,1.0
Orphanet_552,MODY,HP_0003596,Middle age onset,1.0
Orphanet_552,MODY,HP_0025710,Late young adult onset,1.0
Orphanet_552,MODY,HP_0030795,Reduced C-peptide level,1.0
Orphanet_552,MODY,HP_0011462,Young adult onset,1.0
Orphanet_552,MODY,HP_0000103,Polyuria,1.0
Orphanet_552,MODY,HP_0025502,Overweight,1.0
Orphanet_552,MODY,HP_0031284,Flushing,1.0
Orphanet_552,MODY,HP_0001959,Polydipsia,1.0
Orphanet_552,MODY,HP_0001738,Exocrine pancreatic insufficiency,1.0
Orphanet_552,MODY,HP_0003074,Hyperglycemia,1.0
Orphanet_552,MODY,HP_0032368,Acidemia,1.0
Orphanet_552,MODY,HP_0040217,Elevated hemoglobin A1c,1.0
Orphanet_552,MODY,HP_0002919,Ketonuria,1.0
Orphanet_552,MODY,HP_0002027,Abdominal pain,1.0
Orphanet_552,MODY,HP_0001511,Intrauterine growth retardation,1.0
Orphanet_552,MODY,HP_0000819,Diabetes mellitus,1.0
Orphanet_552,MODY,HP_0003593,Infantile onset,1.0
Orphanet_552,MODY,HP_0001953,Diabetic ketoacidosis,1.0
Orphanet_552,MODY,HP_0025709,Intermediate young adult onset,1.0
Orphanet_552,MODY,HP_0000006,Autosomal dominant inheritance,1.0
Orphanet_552,MODY,HP_0040216,Hypoinsulinemia,1.0
Orphanet_552,MODY,HP_0001513,Obesity,1.0
Orphanet_552,MODY,HP_0004904,Maturity-onset diabetes of the young,1.0
Orphanet_552,MODY,HP_0011463,Childhood onset,1.0
Orphanet_552,MODY,HP_0045081,Abnormality of body mass index,1.0
Orphanet_552,MODY,HP_0009800,Maternal diabetes,1.0
Orphanet_552,MODY,HP_0025329,Anti-glutamic acid decarboxylase antibody positivity,1.0
Orphanet_552,MODY,HP_0003621,Juvenile onset,1.0
Orphanet_552,MODY,HP_0005978,Type II diabetes mellitus,1.0
EFO_0000537,hypertension,HP_0001426,Non-Mendelian inheritance,1.0
EFO_0000537,hypertension,HP_0004421,Elevated systolic blood pressure,1.0
EFO_0000537,hypertension,HP_0005117,Elevated diastolic blood pressure,1.0
EFO_0000537,hypertension,HP_0004972,Elevated mean arterial pressure,1.0
EFO_0001645,coronary artery disease,HP_0000822,Hypertension,1.0
EFO_0001645,coronary artery disease,HP_0001513,Obesity,1.0
EFO_0001645,coronary artery disease,HP_0005181,Premature coronary artery atherosclerosis,1.0
EFO_0001645,coronary artery disease,HP_0100749,Chest pain,1.0
EFO_0001645,coronary artery disease,HP_0003124,Hypercholesterolemia,1.0
EFO_0001645,coronary artery disease,HP_0000006,Autosomal dominant inheritance,1.0
EFO_0001645,coronary artery disease,HP_0001658,Myocardial infarction,1.0
EFO_0001645,coronary artery disease,HP_0003581,Adult onset,1.0
EFO_0001645,coronary artery disease,HP_0000819,Diabetes mellitus,1.0
MONDO_0100165,permanent neonatal diabetes mellitus 1,HP_0100651,Type I diabetes mellitus,1.0
MONDO_0100165,permanent neonatal diabetes mellitus 1,HP_0030795,Reduced C-peptide level,1.0
MONDO_0100165,permanent neonatal diabetes mellitus 1,HP_0040217,Elevated hemoglobin A1c,1.0
MONDO_0100165,permanent neonatal diabetes mellitus 1,HP_0003074,Hyperglycemia,1.0
MONDO_0100165,permanent neonatal diabetes mellitus 1,HP_0001511,Intrauterine growth retardation,1.0
MONDO_0100165,permanent neonatal diabetes mellitus 1,HP_0000819,Diabetes mellitus,1.0
MONDO_0100165,permanent neonatal diabetes mellitus 1,HP_0000007,Autosomal recessive inheritance,1.0
MONDO_0100165,permanent neonatal diabetes mellitus 1,HP_0001518,Small for gestational age,1.0
MONDO_0019207,DEND syndrome,HP_0001518,Small for gestational age,1.0
MONDO_0019207,DEND syndrome,HP_0000007,Autosomal recessive inheritance,1.0
MONDO_0019207,DEND syndrome,HP_0001511,Intrauterine growth retardation,1.0
