drug_normalized,n_trials,trial_statuses,trial_source,example_name,example_condition,example_whyStopped
0.9% sodium chloride injection solution,1,TERMINATED,STOPPED,0.9% sodium chloride injection solution,Atherosclerosis | Hypercholesterolemia,
10 x 10^6 cells,1,TERMINATED,STOPPED,10 x 10^6 cells,Peripheral Arterial Disease | Diabetic Foot,Business decision with all subjects completing at least 1 year follow-up
18f-fpprgd2,1,WITHDRAWN,STOPPED,18F-FPPRGD2,"Aortic Aneurysm, Abdominal | Carotid Atherosclerosis",Resources not secured
3 x 10^6 cells,1,TERMINATED,STOPPED,3 x 10^6 cells,Peripheral Arterial Disease | Diabetic Foot,Business decision with all subjects completing at least 1 year follow-up
30 x 10^6 cells,1,TERMINATED,STOPPED,30 x 10^6 cells,Peripheral Arterial Disease | Diabetic Foot,Business decision with all subjects completing at least 1 year follow-up
6% hydroxyethylstarch,1,TERMINATED,STOPPED,6% Hydroxyethylstarch,Peripheral Vascular Disease,Very slow enrollment.Study entry criteria not in line w/local standards of care
acetylsalicylic acid,1,WITHDRAWN,STOPPED,Acetylsalicylic Acid,Chronic Total Occlusion | Atherosclerosis | Coronary Artery Disease | Peripheral Artery Disease,Sponsor decision
adenosine infusion treatment,1,TERMINATED,STOPPED,adenosine infusion treatment,Resistant Hypertension,The study terminated early due to the difficulty of recruiting candidates.
alirocumab,1,TERMINATED,STOPPED,Alirocumab,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn
alirocumab 150 mg/ml subcutaneous injection,1,TERMINATED,STOPPED,Alirocumab 150 MG/ML subcutaneous injection,Saphenous Vein Graft Atherosclerosis,Withdrawal of medication and funding support by Sponsor
aliskiren,3,"COMPLETED,TERMINATED","COMPLETED_NEGATIVE,STOPPED",Aliskiren,Atherosclerosis,Safety concerns with approved medication identified in an unrelated trial
angiotensin 1-7,1,TERMINATED,STOPPED,Angiotensin 1-7,Peripheral Arterial Disease,Study funding ended prior to completion.
ascorbic acid,1,TERMINATED,STOPPED,ascorbic acid,Peripheral Arterial Disease,Insufficient enrollment
aspirin,4,"TERMINATED,WITHDRAWN",STOPPED,Aspirin,Coronary Artery Disease | Stents | Atherosclerosis,cannot use bioabsorbable scaffold
aspirin + ticagrelor,1,TERMINATED,STOPPED,Aspirin + Ticagrelor,Peripheral Arterial Disease,AZ discontinued study
aspirin 25 mg bid,1,TERMINATED,STOPPED,Aspirin 25 mg bid,Peripheral Arterial Disease,Could not enroll subjects who met the stringent inclusion/exclusion criteria.
aspirin tablet,1,WITHDRAWN,STOPPED,Aspirin tablet,Coronary Artery Disease | Atherosclerosis | Heart Attack,"study withdrawn, no participants enrolled, changes in the study design planned"
atenolol,1,TERMINATED,STOPPED,Atenolol,Essential Hypertension | Carotid Plaque,Low recruitment
atorvastatin,4,"TERMINATED,WITHDRAWN",STOPPED,atorvastatin,Peripheral Arterial Disease,Insufficient enrollment
atorvastatin 20 mg + pioglitazone 30 mg,1,TERMINATED,STOPPED,Atorvastatin 20 mg + Pioglitazone 30 mg,Atherosclerosis | Coronary Artery Disease,
atorvastatin 20mg,1,TERMINATED,STOPPED,Atorvastatin 20mg,Atherosclerosis | Coronary Artery Disease,
"atorvastatin, aspirin, losartan, amlodipine",1,TERMINATED,STOPPED,"atorvastatin, aspirin, losartan, amlodipine",Carotid Artery Stenosis | Atherosclerosis | Stroke,Due to the clear advantage of carotid endarterectomy
autologous asc (for adipose-derived stem/stroma cell),1,TERMINATED,STOPPED,Autologous ASC (for Adipose-derived Stem/Stroma Cell),Critical Limb Ischemia and Peripheral Artery Disease,organizational difficulties for the collection of adipose tissue and for the supply of the experimental drug
autologous cd133+ cells,1,TERMINATED,STOPPED,autologous CD133+ cells,Critical Limb Ischemia | Arterial Occlusive Disease | Vascular Diseases,Failure to mobilize adequate CD34+ stem cells for minimum study treatment dose.
