nctId,briefTitle,overallStatus,whyStopped,phases,conditions,drug_raw,intervention_type,trial_source
NCT05699915,Extensive CArdioVAscular Characterization and Follow-up of Patients Receiving Immune Checkpoint Inhibitors,TERMINATED,"Study was stopped due to negative preliminary analysis, slow recruitment (105 patients over 2,5 years), lack of funding, need for more centers, and the changing treatment landscape (approval of ICIs in combination with other cancer treatments).",NA,"Cancer | Immune-related Adverse Event | Cardiac Abnormalities, Variable | Immune Checkpoint Inhibitor-Related Myocarditis | Diastolic Dysfunction | Atherosclerosis | Cardiotoxicity",,,STOPPED
NCT01321476,Contribution of Hepatic and Intestinal Lipoproteins to Human Atherosclerosis,WITHDRAWN,Study was never initiated and internal decision to discontinue initiation process,,Heart Disease,,,STOPPED
NCT03335020,"Using Ultrasonography, Shear Wave Elastography, Strain Imaging, and 3-D Volume Ultrasonography on Cardiovascular Disease",WITHDRAWN,Closed by Investigator,PHASE1,Fibromuscular Dysplasia of Arteries | Segmental Arterial Mediolysis | Spontaneous Coronary Artery Dissection | Atherosclerosis of Artery,Contrast-Enhanced Ultrasound,DRUG,STOPPED
NCT01019681,Efficacy and Safety of Umbilical Cord Blood Injection for Critical Limb Ischemia,TERMINATED,Only patient enrolled on study died -the cause of death not study related,PHASE1,Critical Limb Ischemia,Cord blood stem cell injection,BIOLOGICAL,STOPPED
NCT01918111,"Effects of REnal Denervation for Resistant Hypertension on Exercise Diastolic Function and Regression of Atherosclerosis and the Evaluation of NEW Methods Predicting A successfuL Renal Sympathetic Denervation (RENEWAL-EXERCISE, -REGRESS, and -PREDICT Trial From RENEWAL RDN Registry)",TERMINATED,The study terminated early due to the difficulty of recruiting candidates.,PHASE4,Resistant Hypertension,adenosine infusion treatment,DRUG,STOPPED
NCT02879019,Walking Training in Peripheral Artery Disease (GrEnADa Sub-study),WITHDRAWN,Study was not started due to lack of funding,NA,Peripheral Artery Disease | Intermittent Claudication,,,STOPPED
NCT05566678,Effect of Switching From Cigarette Smoking to THS on Systemic Endothelial Function in Subjects With Established Atherosclerotic Disease,WITHDRAWN,"The study was stopped before enrollment, after a feasibility review revealed we would be unable to measure the primary endpoint (flow mediated dilation - FMD) with a high degree of reproducibility and minimum variability in a multi-country setting.",NA,Cardiovascular Diseases | Smoking | Tobacco Use | Peripheral Arterial Disease | Coronary Artery Disease,,,STOPPED
NCT00572949,Magnetocardiography (MCG) in the Diagnosis of Chest Pain Syndrome,WITHDRAWN,sponsor funding,,Chest Pain,,,STOPPED
NCT03538392,Serranator® Alto Post Market Clinical Follow Up (PMCF) Study,WITHDRAWN,"Product not available, study withdrawn",,Peripheral Arterial Disease | Arterio-venous Fistula | Arteriovenous Graft,,,STOPPED
NCT01809730,Pilot Study: Cardiovascular Events in High Risk Orthopedic Surgical Patients,WITHDRAWN,no participants enrolled,,Coronary Artery Disease | Cerebral Vascular Disease | Peripheral Artery Disease | Renal Insufficiency | Diabetes | COPD | Hypertension | Active Smoker | Cancer | CHF | Prior DVT/PE,,,STOPPED
