target_chembl_id,ensembl_gene_id
CHEMBL1781870,ENSG00000281614
CHEMBL1781870,ENSG00000168918
CHEMBL1803,ENSG00000005844
CHEMBL1912,ENSG00000169442
CHEMBL2095186,ENSG00000163399
CHEMBL2095186,ENSG00000129244
CHEMBL2095186,ENSG00000143153
CHEMBL2095186,ENSG00000018625
CHEMBL2095186,ENSG00000069849
CHEMBL2095186,ENSG00000105409
CHEMBL2095186,ENSG00000132681
CHEMBL2095186,ENSG00000137731
CHEMBL2111362,ENSG00000160255
CHEMBL2111362,ENSG00000169896
CHEMBL2148,ENSG00000105639
CHEMBL2252,ENSG00000109861
CHEMBL2363062,ENSG00000105639
CHEMBL2363062,ENSG00000162434
CHEMBL2363062,ENSG00000096968
CHEMBL2363062,ENSG00000105397
CHEMBL2364170,ENSG00000142166
CHEMBL2364170,ENSG00000159110
CHEMBL2364172,ENSG00000005844
CHEMBL2364172,ENSG00000160255
CHEMBL2413,ENSG00000163823
CHEMBL3631,ENSG00000160255
CHEMBL3819,ENSG00000198121
CHEMBL3831289,ENSG00000196954
CHEMBL3831289,ENSG00000132906
CHEMBL3831289,ENSG00000164305
CHEMBL3831289,ENSG00000137757
CHEMBL3831289,ENSG00000138794
CHEMBL3831289,ENSG00000165806
CHEMBL3831289,ENSG00000064012
CHEMBL3831289,ENSG00000137752
CHEMBL3831289,ENSG00000106144
CHEMBL3831289,ENSG00000003400
CHEMBL3831289,ENSG00000105141
CHEMBL3831289,ENSG00000204403
CHEMBL3831289,ENSG00000291983
CHEMBL4296642,ENSG00000113263
CHEMBL4296642,ENSG00000102010
CHEMBL4296642,ENSG00000135605
CHEMBL4296642,ENSG00000074966
CHEMBL4296642,ENSG00000010671
CHEMBL4630879,ENSG00000135077
CHEMBL4801,ENSG00000137752
CHEMBL4805,ENSG00000089041
CHEMBL5251,ENSG00000010671
