target_chembl_id,target_component_id,uniprot_accession,xref_src_db,xref_id
CHEMBL1781870,4994,Q92835,PDBe,5RW3
CHEMBL1781870,4994,Q92835,PDBe,5RW2
CHEMBL1781870,4994,Q92835,PDBe,5RW5
CHEMBL1781870,4994,Q92835,PDBe,5RW4
CHEMBL1781870,4994,Q92835,PDBe,5RW7
CHEMBL1781870,4994,Q92835,PDBe,5RW6
CHEMBL1781870,4994,Q92835,PDBe,5RW9
CHEMBL1781870,4994,Q92835,PDBe,5RW8
CHEMBL1781870,4994,Q92835,PDBe,5RWS
CHEMBL1781870,4994,Q92835,PDBe,5RX4
CHEMBL1781870,4994,Q92835,PDBe,5RWR
CHEMBL1781870,4994,Q92835,PDBe,5RX3
CHEMBL1781870,4994,Q92835,PDBe,5RWU
CHEMBL1781870,4994,Q92835,PDBe,5RX6
CHEMBL1781870,4994,Q92835,PDBe,5RWT
CHEMBL1781870,4994,Q92835,PDBe,5RX5
CHEMBL1781870,4994,Q92835,PDBe,5RWW
CHEMBL1781870,4994,Q92835,PDBe,5RX8
CHEMBL1781870,4994,Q92835,PDBe,5RWV
CHEMBL1781870,4994,Q92835,PDBe,5RX7
CHEMBL1781870,4994,Q92835,PDBe,5RWY
CHEMBL1781870,4994,Q92835,PDBe,5RWX
CHEMBL1781870,4994,Q92835,PDBe,5RX9
CHEMBL1781870,4994,Q92835,PDBe,5RWK
CHEMBL1781870,4994,Q92835,PDBe,5RWJ
CHEMBL1781870,4994,Q92835,PDBe,5RWM
CHEMBL1781870,4994,Q92835,PDBe,5RWL
CHEMBL1781870,4994,Q92835,PDBe,5RWO
CHEMBL1781870,4994,Q92835,PDBe,5RX0
CHEMBL1781870,4994,Q92835,PDBe,6IBD
CHEMBL1781870,4994,Q92835,PDBe,5RWN
CHEMBL1781870,4994,Q92835,PDBe,5RWQ
CHEMBL1781870,4994,Q92835,PDBe,5RX2
CHEMBL1781870,4994,Q92835,PDBe,5RWP
CHEMBL1781870,4994,Q92835,PDBe,5RX1
CHEMBL1781870,4994,Q92835,PDBe,5RWC
CHEMBL1781870,4994,Q92835,PDBe,5RWB
CHEMBL1781870,4994,Q92835,PDBe,5RWE
CHEMBL1781870,4994,Q92835,PDBe,5RWD
CHEMBL1781870,4994,Q92835,PDBe,5RWG
CHEMBL1781870,4994,Q92835,PDBe,5RWF
CHEMBL1781870,4994,Q92835,PDBe,5RWI
CHEMBL1781870,4994,Q92835,PDBe,5RWH
CHEMBL1781870,4994,Q92835,PDBe,5RWA
CHEMBL1781870,4994,Q92835,PDBe,5RXT
CHEMBL1781870,4994,Q92835,PDBe,5RY5
CHEMBL1781870,4994,Q92835,PDBe,5RXS
CHEMBL1781870,4994,Q92835,PDBe,5RY4
CHEMBL1781870,4994,Q92835,PDBe,5RXV
CHEMBL1781870,4994,Q92835,PDBe,5RY7
CHEMBL1781870,4994,Q92835,PDBe,5RXU
CHEMBL1781870,4994,Q92835,PDBe,5RY6
CHEMBL1781870,4994,Q92835,PDBe,5RXX
CHEMBL1781870,4994,Q92835,PDBe,5RY9
CHEMBL1781870,4994,Q92835,PDBe,5RXW
CHEMBL1781870,4994,Q92835,PDBe,5RY8
CHEMBL1781870,4994,Q92835,PDBe,5RXZ
CHEMBL1781870,4994,Q92835,PDBe,5RXY
CHEMBL1781870,4994,Q92835,PDBe,5RXL
CHEMBL1781870,4994,Q92835,PDBe,5RXK
CHEMBL1781870,4994,Q92835,PDBe,5RXM
CHEMBL1781870,4994,Q92835,PDBe,5RXP
CHEMBL1781870,4994,Q92835,PDBe,5RY1
CHEMBL1781870,4994,Q92835,PDBe,5RXO
CHEMBL1781870,4994,Q92835,PDBe,5RY0
CHEMBL1781870,4994,Q92835,PDBe,5RXR
CHEMBL1781870,4994,Q92835,PDBe,5RY3
CHEMBL1781870,4994,Q92835,PDBe,5RXQ
CHEMBL1781870,4994,Q92835,PDBe,5RY2
CHEMBL1781870,4994,Q92835,PDBe,5RXD
CHEMBL1781870,4994,Q92835,PDBe,5RXC
CHEMBL1781870,4994,Q92835,PDBe,5RXF
CHEMBL1781870,4994,Q92835,PDBe,5RXE
CHEMBL1781870,4994,Q92835,PDBe,5RXH
CHEMBL1781870,4994,Q92835,PDBe,5RXG
CHEMBL1781870,4994,Q92835,PDBe,5RXJ
CHEMBL1781870,4994,Q92835,PDBe,5RXI
CHEMBL1781870,4994,Q92835,PDBe,5RWZ
CHEMBL1781870,4994,Q92835,PDBe,6XY7
CHEMBL1781870,4994,Q92835,PDBe,5RXB
CHEMBL1781870,4994,Q92835,PDBe,5RXA
CHEMBL1781870,4994,Q92835,PDBe,8UM5
CHEMBL1781870,4994,Q92835,PDBe,8PDG
CHEMBL1781870,4994,Q92835,PDBe,8PDJ
CHEMBL1781870,4994,Q92835,PDBe,8PDH
CHEMBL1781870,4994,Q92835,PDBe,8PDI
CHEMBL1781870,4994,Q92835,PDBe,5RYL
CHEMBL1781870,4994,Q92835,PDBe,5RYE
CHEMBL1781870,4994,Q92835,PDBe,5RYD
CHEMBL1781870,4994,Q92835,PDBe,5RYG
CHEMBL1781870,4994,Q92835,PDBe,5RYF
CHEMBL1781870,4994,Q92835,PDBe,5RYI
CHEMBL1781870,4994,Q92835,PDBe,5RYH
CHEMBL1781870,4994,Q92835,PDBe,5RYK
CHEMBL1781870,4994,Q92835,PDBe,5RYJ
CHEMBL1781870,4994,Q92835,PDBe,5RYA
CHEMBL1781870,4994,Q92835,PDBe,5RYC
CHEMBL1781870,4994,Q92835,PDBe,5RYB
CHEMBL1781870,4994,Q92835,GoFunction,GO:0004439
CHEMBL1781870,4994,Q92835,GoFunction,GO:0004445
CHEMBL1781870,4994,Q92835,GoFunction,GO:0005515
CHEMBL1781870,4994,Q92835,GoFunction,GO:0016314
CHEMBL1781870,4994,Q92835,GoFunction,GO:0016787
CHEMBL1781870,4994,Q92835,GoFunction,GO:0016791
CHEMBL1781870,4994,Q92835,GoFunction,GO:0017124
CHEMBL1781870,4994,Q92835,GoFunction,GO:0034485
CHEMBL1781870,4994,Q92835,GoFunction,GO:0052659
CHEMBL1781870,4994,Q92835,GoProcess,GO:0002376
CHEMBL1781870,4994,Q92835,GoProcess,GO:0006629
CHEMBL1781870,4994,Q92835,GoProcess,GO:0006661
CHEMBL1781870,4994,Q92835,GoProcess,GO:0006796
CHEMBL1781870,4994,Q92835,GoProcess,GO:0006915
CHEMBL1781870,4994,Q92835,GoProcess,GO:0007165
CHEMBL1781870,4994,Q92835,GoProcess,GO:0008340
CHEMBL1781870,4994,Q92835,GoProcess,GO:0009968
CHEMBL1781870,4994,Q92835,GoProcess,GO:0016064
CHEMBL1781870,4994,Q92835,GoProcess,GO:0019637
CHEMBL1781870,4994,Q92835,GoProcess,GO:0030853
CHEMBL1781870,4994,Q92835,GoProcess,GO:0030889
CHEMBL1781870,4994,Q92835,GoProcess,GO:0032715
CHEMBL1781870,4994,Q92835,GoProcess,GO:0035556
CHEMBL1781870,4994,Q92835,GoProcess,GO:0043065
CHEMBL1781870,4994,Q92835,GoProcess,GO:0045579
CHEMBL1781870,4994,Q92835,GoProcess,GO:0045621
CHEMBL1781870,4994,Q92835,GoProcess,GO:0045648
CHEMBL1781870,4994,Q92835,GoProcess,GO:0045656
CHEMBL1781870,4994,Q92835,GoProcess,GO:0045659
CHEMBL1781870,4994,Q92835,GoProcess,GO:0045671
CHEMBL1781870,4994,Q92835,GoProcess,GO:0045779
CHEMBL1781870,4994,Q92835,GoProcess,GO:0045953
CHEMBL1781870,4994,Q92835,GoProcess,GO:0046856
CHEMBL1781870,4994,Q92835,GoProcess,GO:0050776
CHEMBL1781870,4994,Q92835,GoProcess,GO:0050777
CHEMBL1781870,4994,Q92835,GoProcess,GO:0050852
CHEMBL1781870,4994,Q92835,GoProcess,GO:0050869
CHEMBL1781870,4994,Q92835,GoComponent,GO:0005737
CHEMBL1781870,4994,Q92835,GoComponent,GO:0005829
CHEMBL1781870,4994,Q92835,GoComponent,GO:0005856
CHEMBL1781870,4994,Q92835,GoComponent,GO:0005886
CHEMBL1781870,4994,Q92835,GoComponent,GO:0045121
CHEMBL1781870,4994,Q92835,UniProt,O00145
CHEMBL1781870,4994,Q92835,UniProt,Q13544
CHEMBL1781870,4994,Q92835,UniProt,Q13545
CHEMBL1781870,4994,Q92835,UniProt,Q6P5A4
CHEMBL1781870,4994,Q92835,UniProt,Q92656
CHEMBL1781870,4994,Q92835,UniProt,Q9UE80
CHEMBL1781870,4994,Q92835,UniProt,Q92835
CHEMBL1781870,4994,Q92835,PDB,2YSX
CHEMBL1781870,4994,Q92835,PDB,5RW2
CHEMBL1781870,4994,Q92835,PDB,5RW3
CHEMBL1781870,4994,Q92835,PDB,5RW4
CHEMBL1781870,4994,Q92835,PDB,5RW5
