drug_normalized,diseaseId,diseaseName,mechanism_score,safety_penalty,trial_penalty,risk_multiplier,phenotype_boost,phenotype_multiplier,final_score,n_trials,trial_statuses,trial_source,example_condition,example_whyStopped,is_known_indication,original_indications,signature_genes,n_signature_targets,ci_lower,ci_upper,ci_width,confidence_tier,n_evidence_paths
alirocumab,EFO_0004911,familial hypercholesterolemia,2.77804792833365,0.6997,0.0,0.8107,0.2303,1.2303,2.7706,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,True,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.678536,0.726464,0.047928,HIGH,4
alirocumab,MONDO_0011369,"hypercholesterolemia, autosomal dominant, 3",2.6342867486984978,0.6997,0.0,0.8107,0.1946,1.1946,2.5511,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.649624,0.676466,0.026842,HIGH,4
alirocumab,EFO_0001645,coronary artery disease,2.44613693759838,0.6997,0.0,0.8107,0.2303,1.2303,2.4396,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,True,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.590022,0.63074,0.040718,HIGH,4
alirocumab,HP_0003124,Hypercholesterolemia,2.5837086872155477,0.6997,0.0,0.8107,0.0,1.0,2.0945,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,True,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.637152,0.663478,0.026326,HIGH,4
alirocumab,EFO_0000319,cardiovascular disease,2.415491241289434,0.6997,0.0,0.8107,0.0,1.0,1.9581,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,True,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.58263,0.622838,0.040207,HIGH,4
alirocumab,EFO_0000589,metabolic disease,2.3055488757387117,0.6997,0.0,0.8107,0.0,1.0,1.869,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.568557,0.592049,0.023492,HIGH,4
alirocumab,Orphanet_309005,Disorder of lipid metabolism,2.2170512532759004,0.6997,0.0,0.8107,0.0,1.0,1.7973,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,True,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.554263,0.554263,0.0,HIGH,4
alirocumab,EFO_0000612,myocardial infarction,2.1587039312067464,0.6997,0.0,0.8107,0.0,1.0,1.75,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.520261,0.559091,0.03883,HIGH,4
alirocumab,MONDO_0007750,"hypercholesterolemia, familial, 1",1.7836214902334102,0.6997,0.0,0.8107,0.2079,1.2079,1.7466,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.445905,0.445905,0.0,HIGH,4
alirocumab,MONDO_0018328,homozygous familial hypercholesterolemia,2.148464723176249,0.6997,0.0,0.8107,0.0,1.0,1.7417,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,True,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.524761,0.561827,0.037066,HIGH,4
alirocumab,MONDO_0021187,hyperlipidemia,2.1040568357817544,0.6997,0.0,0.8107,0.0,1.0,1.7057,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.526014,0.526014,0.0,HIGH,4
alirocumab,EFO_0003914,atherosclerosis,2.0172272109385148,0.6997,0.0,0.8107,0.0,1.0,1.6353,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,True,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.492706,0.527508,0.034802,HIGH,4
alirocumab,EFO_0000195,metabolic syndrome,1.5989738546727714,0.6997,0.0,0.8107,0.2398,1.2398,1.607,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.389027,0.41046,0.021432,HIGH,4
alirocumab,EFO_1001375,Myocardial Ischemia,1.8354966537754889,0.6997,0.0,0.8107,0.0,1.0,1.488,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.442366,0.475382,0.033016,HIGH,4
alirocumab,MONDO_0009387,familial lipoprotein lipase deficiency,1.4386859310417202,0.6997,0.0,0.8107,0.2398,1.2398,1.4459,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.351398,0.376219,0.024821,HIGH,4
alirocumab,EFO_0003777,heart disease,1.773792300626292,0.6997,0.0,0.8107,0.0,1.0,1.4379,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.410746,0.491881,0.081136,HIGH,4
alirocumab,MONDO_0021661,coronary atherosclerosis,1.763336321760802,0.6997,0.0,0.8107,0.0,1.0,1.4295,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.440834,0.440834,0.0,HIGH,4
alirocumab,EFO_0003913,angina pectoris,1.733713012728092,0.6997,0.0,0.8107,0.0,1.0,1.4054,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.421809,0.445047,0.023238,HIGH,4
alirocumab,EFO_0000712,stroke,1.5163324930556523,0.6997,0.0,0.8107,0.1386,1.1386,1.3996,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.300694,0.523436,0.222742,MEDIUM,4
alirocumab,HP_0003077,Hyperlipidemia,1.7264272674266656,0.6997,0.0,0.8107,0.0,1.0,1.3995,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.425743,0.443334,0.017591,HIGH,4
alirocumab,MONDO_0001336,familial hyperlipidemia,1.7148713527001924,0.6997,0.0,0.8107,0.0,1.0,1.3902,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.428718,0.428718,0.0,HIGH,4
alirocumab,EFO_0000400,diabetes mellitus,1.4041737247377832,0.6997,0.0,0.8107,0.2197,1.2197,1.3884,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,True,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.341633,0.360454,0.018821,HIGH,4
alirocumab,MONDO_0013144,hereditary antithrombin deficiency,1.390206303767071,0.6997,0.0,0.8107,0.2303,1.2303,1.3865,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.676469,0.713737,0.037268,HIGH,2
alirocumab,HP_0001626,Abnormality of the cardiovascular system,1.544989115822175,0.6997,0.0,0.8107,0.0,1.0,1.2525,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.386247,0.386247,0.0,HIGH,4
alirocumab,HP_0003146,Hypocholesterolemia,1.519787603332834,0.6997,0.0,0.8107,0.0,1.0,1.232,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.379947,0.379947,0.0,HIGH,4
alirocumab,HP_0003119,Abnormal circulating lipid concentration,1.4715700044219706,0.6997,0.0,0.8107,0.0,1.0,1.1929,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,True,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.367893,0.367893,0.0,HIGH,4
alirocumab,EFO_0000275,atrial fibrillation,1.1767919069442716,0.6997,0.0,0.8107,0.2398,1.2398,1.1827,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.072621,0.515775,0.443154,LOW,4
alirocumab,EFO_0004214,Abdominal Aortic Aneurysm,1.4288552428438437,0.6997,0.0,0.8107,0.0,1.0,1.1583,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.357214,0.357214,0.0,HIGH,4
alirocumab,HP_0004936,Venous thrombosis,1.1306796423669063,0.6997,0.0,0.8107,0.2398,1.2398,1.1364,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.550185,0.580495,0.030311,HIGH,2
alirocumab,Orphanet_79211,Combined hyperlipidemia,1.1062756269960068,0.6997,0.0,0.8107,0.2303,1.2303,1.1033,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.270207,0.289293,0.019086,HIGH,4
alirocumab,EFO_0005672,acute coronary syndrome,1.3444152821346198,0.6997,0.0,0.8107,0.0,1.0,1.0899,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.280993,0.421709,0.140716,MEDIUM,4
alirocumab,HP_0001976,Reduced antithrombin III activity,1.2937212142508865,0.6997,0.0,0.8107,0.0,1.0,1.0488,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.62952,0.664201,0.034681,HIGH,2
alirocumab,EFO_1000985,intermediate coronary syndrome,1.2710260283837655,0.6997,0.0,0.8107,0.0,1.0,1.0304,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.279558,0.359048,0.07949,HIGH,4
alirocumab,EFO_0004286,venous thromboembolism,1.2626208859932304,0.6997,0.0,0.8107,0.0,1.0,1.0236,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.046997,0.584314,0.537317,LOW,4
alirocumab,EFO_0008583,acute myocardial infarction,1.1953208910287108,0.6997,0.0,0.8107,0.0,1.0,0.969,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.288221,0.308302,0.020082,HIGH,4
alirocumab,EFO_0003144,heart failure,1.1943910450436237,0.6997,0.0,0.8107,0.0,1.0,0.9682,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.298598,0.298598,0.0,HIGH,4
alirocumab,HP_0011428,Short fetal femur length,1.187066470233723,0.6997,0.0,0.8107,0.0,1.0,0.9623,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.296767,0.296767,0.0,HIGH,4
alirocumab,EFO_0004264,vascular disease,1.1630272440108385,0.6997,0.0,0.8107,0.0,1.0,0.9428,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.290757,0.290757,0.0,HIGH,4
alirocumab,EFO_0004329,alcohol drinking,1.153512135309475,0.6997,0.0,0.8107,0.0,1.0,0.9351,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.280647,0.296109,0.015461,HIGH,4
alirocumab,MONDO_0100096,COVID-19,1.1404696119601427,0.6997,0.0,0.8107,0.0,1.0,0.9245,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.231762,0.338472,0.10671,MEDIUM,4
alirocumab,EFO_0003776,coronary artery bypass,1.1279602973638454,0.6997,0.0,0.8107,0.0,1.0,0.9144,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.28199,0.28199,0.0,HIGH,4
alirocumab,EFO_0003940,physical activity,1.1225894210654916,0.6997,0.0,0.8107,0.0,1.0,0.91,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.280647,0.280647,0.0,HIGH,4
alirocumab,EFO_0003951,percutaneous transluminal coronary angioplasty,1.1225894210654916,0.6997,0.0,0.8107,0.0,1.0,0.91,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.280647,0.280647,0.0,HIGH,4
alirocumab,EFO_0003907,deep vein thrombosis,1.0937238054191556,0.6997,0.0,0.8107,0.0,1.0,0.8866,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.522221,0.571503,0.049281,HIGH,2
alirocumab,EFO_0003086,kidney disease,1.0396200487798937,0.6997,0.0,0.8107,0.0,1.0,0.8428,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.25303,0.263343,0.010313,HIGH,4
alirocumab,EFO_0003827,pulmonary embolism,1.0315689372997063,0.6997,0.0,0.8107,0.0,1.0,0.8362,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.480032,0.551537,0.071504,HIGH,2
alirocumab,EFO_0003884,chronic kidney disease,1.018479956512245,0.6997,0.0,0.8107,0.0,1.0,0.8256,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.214524,0.294716,0.080193,HIGH,4
alirocumab,HP_0001907,Thromboembolism,0.9830566798637128,0.6997,0.0,0.8107,0.0,1.0,0.7969,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.436461,0.546596,0.110135,MEDIUM,2
alirocumab,HP_0003040,Arthropathy,0.9594178191147148,0.6997,0.0,0.8107,0.0,1.0,0.7778,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.239854,0.239854,0.0,HIGH,4
alirocumab,EFO_0009578,placental retention,0.9588206730453008,0.6997,0.0,0.8107,0.0,1.0,0.7773,1,TERMINATED,STOPPED,Stroke | Intracranial Atherosclerosis | Intraplaque Hemorrhage,Funding withdrawn,False,Atherosclerosis; Cardiovascular Diseases; Coronary Artery Disease; Diabetes Mellitus; Dyslipidemias,,,0.239705,0.239705,0.0,HIGH,4
angiotensin 1-7,MONDO_0013361,congenital prothrombin deficiency,1.299935146535446,0.0,0.0,1.0,0.2398,1.2398,1.6116,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.299935146535446,1.299935146535446,0.0,HIGH,1
angiotensin 1-7,Orphanet_325,Congenital factor II deficiency,1.266476485157081,0.0,0.0,1.0,0.2398,1.2398,1.5702,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.26647648515708,1.26647648515708,0.0,HIGH,1
angiotensin 1-7,EFO_0000537,hypertension,1.2855208629188144,0.0,0.0,1.0,0.1609,1.1609,1.4924,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,True,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.285520862918814,1.285520862918814,0.0,HIGH,1
angiotensin 1-7,MONDO_0009970,renal tubular dysgenesis of genetic origin,1.1507575486671622,0.0,0.0,1.0,0.2398,1.2398,1.4267,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.150757548667162,1.150757548667162,0.0,HIGH,1
angiotensin 1-7,MONDO_0008559,thrombophilia due to thrombin defect,1.1798238408285806,0.0,0.0,1.0,0.2079,1.2079,1.4252,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.17982384082858,1.17982384082858,0.0,HIGH,1
angiotensin 1-7,EFO_0000712,stroke,1.1953664077789092,0.0,0.0,1.0,0.1386,1.1386,1.3611,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.195366407778909,1.195366407778909,0.0,HIGH,1
angiotensin 1-7,EFO_0000400,diabetes mellitus,1.001683618212415,0.0,0.0,1.0,0.2197,1.2197,1.2218,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.001683618212415,1.001683618212415,0.0,HIGH,1
angiotensin 1-7,HP_0004936,Venous thrombosis,0.9854512486294406,0.0,0.0,1.0,0.2398,1.2398,1.2218,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,0.9854512486294401,0.9854512486294401,0.0,HIGH,1
angiotensin 1-7,HP_0001873,Thrombocytopenia,1.000069803316702,0.0,0.0,1.0,0.2079,1.2079,1.208,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.000069803316702,1.000069803316702,0.0,HIGH,1
angiotensin 1-7,EFO_0000275,atrial fibrillation,0.9741978592537636,0.0,0.0,1.0,0.2398,1.2398,1.2078,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,0.9741978592537631,0.9741978592537631,0.0,HIGH,1
angiotensin 1-7,MONDO_0017609,renal tubular dysgenesis,1.2017511378334431,0.0,0.0,1.0,0.0,1.0,1.2018,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.2017511378334431,1.2017511378334431,0.0,HIGH,1
angiotensin 1-7,MONDO_0007781,"essential hypertension, genetic",1.0249852458218305,0.0,0.0,1.0,0.1609,1.1609,1.19,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.02498524582183,1.02498524582183,0.0,HIGH,1
angiotensin 1-7,HP_0002014,Diarrhea,0.957762425825498,0.0,0.0,1.0,0.2398,1.2398,1.1874,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,0.9577624258254971,0.9577624258254971,0.0,HIGH,1
angiotensin 1-7,EFO_0010702,opioid use disorder,1.1564263384674014,0.0,0.0,1.0,0.0,1.0,1.1564,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.156426338467401,1.156426338467401,0.0,HIGH,1
angiotensin 1-7,HP_0012531,Pain,1.1530053375354918,0.0,0.0,1.0,0.0,1.0,1.153,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.153005337535491,1.153005337535491,0.0,HIGH,1
angiotensin 1-7,EFO_0004286,venous thromboembolism,1.1370551086128282,0.0,0.0,1.0,0.0,1.0,1.1371,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.137055108612828,1.137055108612828,0.0,HIGH,1
angiotensin 1-7,MONDO_0005148,type 2 diabetes mellitus,0.9630843511372632,0.0,0.0,1.0,0.1792,1.1792,1.1356,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,False,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,0.9630843511372631,0.9630843511372631,0.0,HIGH,1
angiotensin 1-7,MONDO_0004992,cancer,1.1049876390198252,0.0,0.0,1.0,0.0,1.0,1.105,1,TERMINATED,STOPPED,Peripheral Arterial Disease,Study funding ended prior to completion.,True,Aging; Brain Injuries; COVID-19; HIV Infections; Heart Failure,,,1.104987639019825,1.104987639019825,0.0,HIGH,1
