gse_id	title	platform	organism	sample_total	case_n	control_n	confidence	quality_score	case_regex	control_regex	include	exclude_reason
GSE138678	Distinct Circulating Expression Profiles of Long Non-coding RNAs in Heart Failur	21827	Homo sapiens	20	0	0	low	0.0			0	excluded: lncrna
GSE120895	Correlation of clinical parameters of heart failure with myocardial gene express	570	Homo sapiens	55	0	0	low	20.0			0	
GSE143786	Circulating long noncoding RNAs associated with hypertrophic cardiomyopathy	28009	Homo sapiens	21	0	0	low	0.0			0	excluded: lncrna
GSE148602	Circulating ceRNAs associated with hypertrophic cardiomyopathy	28387	Homo sapiens	22	0	0	low	20.0			0	
GSE111544	Whole human genome expression analysis on left ventricular free wall heart tissu	14550	Homo sapiens	14	0	0	low	17.0			0	
GSE19303	Changes of myocardial gene expression and protein composition in patients with d	570	Homo sapiens	81	0	0	low	17.0			0	
GSE79962	Widespread downregulation of cardiac mitochondrial and sarcomeric genes in patie	6244	Homo sapiens	51	0	0	low	17.0			0	
GSE81339	Methylome analysis reveals alterations in DNA methylation in the regulatory regi	10558;13534	Homo sapiens	57	0	0	low	0.0			0	excluded: methylation
GSE81338	Methylome analysis reveals alterations in DNA methylation in the regulatory regi	10558	Homo sapiens	30	0	0	low	0.0			0	excluded: methylation
GSE82290	Deleterious assembly of the lamin A/C mutant p.S143P causes ER stress in familia	10558	Homo sapiens	11	0	0	low	0.0			0	excluded: in vitro
GSE68316	Microarray Profiling of Long Non-coding RNA (lncRNA) Associated with Hypertrophi	20113	Homo sapiens	12	0	0	low	0.0			0	excluded: lncrna
GSE67492	Expression data from human heart right ventricular wall	6244	Homo sapiens	6	0	0	low	17.0			0	
67492	Heritable pulmonary arterial hypertension: cardiac right ventricular wall	6244	Homo sapiens	6	0	0	low	17.0			0	
GSE42955	Expression data from human heart	6244	Homo sapiens	29	0	0	low	14.0			0	
42955	Dilated cardiomyopathy: left ventricle apex	6244	Homo sapiens	17	0	0	low	14.0			0	
GSE43435	Thymidine Kinase and mtDNA Depletion in Human Cardiomyopathy: Epigentic and Tran	15338;16284	Homo sapiens	40	0	0	low	0.0			0	excluded: methylation
GSE17800	Myocardial gene expression profiles and cardiodepressant autoantibodies predict 	570	Homo sapiens	48	0	0	low	0.0			0	excluded: rat
GSE36961	Transcriptome Profiling of Surgical Myectomy Tissue from Patients with Hypertrop	15389	Homo sapiens	145	0	0	low	14.0			0	
GSE35108	Expression data from patient iPSC and iPSC-derived cardiomyocytes	6244	Homo sapiens	17	0	0	low	14.0			0	
35108	Serca2a effect on Dilated Cardiomyopathy iPSC-derived cardiomyocytes	6244	Homo sapiens	8	0	0	low	14.0			0	
GSE29819	Myocardial transcriptome analysis of human arrhythmogenic right ventricular card	570	Homo sapiens	38	0	0	low	14.0			0	
GSE17294	Molecular Remodeling of Ion Channels in Human Atrial and Ventricular Myocytes As	8910	Homo sapiens	11	0	0	low	14.0			0	
GSE9800	Expression signature of cardiac muscle as a potential diagnostic or prognostic t	887	Homo sapiens	30	0	0	low	11.0			0	
GSE5406	Human ischemic cardiomyopathy, idiopathic cardiomyopathy, and nonfailing control	96	Homo sapiens	210	0	0	low	11.0			0	
GSE3586	Dilated Cardiomyopathy and Non Failing Septal Biopsies	3050	Homo sapiens	28	0	0	low	11.0			0	
GSE3585	Dilated Cardiomyopathy and Non Failing Biopsies	96	Homo sapiens	12	0	0	low	11.0			0	
3586	Dilated cardiomyopathy: septum	3050	Homo sapiens	28	0	0	low	11.0			0	
