gse_id	title	platform	organism	sample_total	case_n	control_n	confidence	quality_score	case_regex	control_regex	include	exclude_reason
GSE181114	Whole blood transcriptomic profiling in men and women with heart failure	30456	Homo sapiens	944	0	0	low	20.0			0	
GSE138678	Distinct Circulating Expression Profiles of Long Non-coding RNAs in Heart Failur	21827	Homo sapiens	20	0	0	low	0.0			0	excluded: lncrna
GSE175739	Blood gene differential expression of heart failure patients with systemic iron 	16686	Homo sapiens	14	0	0	low	20.0			0	
GSE120895	Correlation of clinical parameters of heart failure with myocardial gene express	570	Homo sapiens	55	0	0	low	20.0			0	
GSE136547	Micro-RNA 150-5p predicts overt heart failure in patients with univentricular he	25134	Homo sapiens	80	0	0	low	0.0			0	excluded: mirna
GSE86569	Different expression of inflammation-related proteins in human heart failure	17586	Homo sapiens	22	0	0	low	17.0			0	
GSE72807	Effects of enhanced external counterpulsation on skeletal muscle gene expression	6244	Homo sapiens	12	0	0	low	17.0			0	
GSE77343	Gene expression in chronic heart failure patients	11532	Homo sapiens	197	0	0	low	17.0			0	
GSE59867	Gene expression profiling reveals potential prognostic biomarkers associated wit	6244	Homo sapiens	436	0	0	low	17.0			0	
GSE57345	RNA-Seq Identifies Novel Myocardial Gene Expression Signatures of Heart Failure	11532;9052	Homo sapiens	319	0	0	low	17.0			0	
GSE57338	RNA-Seq Identifies Novel Myocardial Gene Expression Signatures of Heart Failure 	11532	Homo sapiens	313	0	0	low	17.0			0	
GSE53081	Comparative RNA-sequencing analysis of myocardial and circulating small RNAs in 	10558;10999;11154	Homo sapiens	209	0	0	low	14.0			0	
GSE52601	Comparative RNA-sequencing analysis of myocardial and circulating small RNAs in 	10558	Homo sapiens	24	0	0	low	0.0			0	excluded: mirna
GSE51888	Effects on expression profile of acute congestive heart failure (ACHF) patients 	6254	Homo sapiens	11	0	0	low	14.0			0	
GSE21125	Transcriptional profiling of human white blood cells at the different stages of 	1456	Homo sapiens	45	0	0	low	14.0			0	
GSE26887	Transcriptome analysis of diabetic and non diabetic patients affected by post-is	6244	Homo sapiens	24	0	0	low	14.0			0	
26887	Diabetic ischemic heart failure patients: non-infarcted left ventricle	6244	Homo sapiens	24	0	0	low	14.0			0	
GSE16499	Heart Failure Associated Changes in Alternative Splicing of Sarcomere Genes	5175	Homo sapiens	30	0	0	low	14.0			0	
GSE9128	Expression data from heart failure vs control peripheral blood mononuclear cells	96	Homo sapiens	11	0	0	low	11.0			0	
9128	Heart failure: peripheral blood mononuclear cells	96	Homo sapiens	11	0	0	low	11.0			0	
GSE2656	Gene expression profile of human heart failure from different etiologies	2041	Homo sapiens	49	0	0	low	11.0			0	
GSE1145	changes in cardiac transcription profiles brought about by heart failure	8300;570	Homo sapiens	107	0	0	low	11.0			0	
