gse_id	title	platform	organism	sample_total	case_n	control_n	confidence	quality_score	case_regex	control_regex	include	exclude_reason
GSE250522	Genetic regulation and targeted reversal of lysosomal dysfunction and inflammato	23126	Homo sapiens	12	0	0	low	20.0			0	
GSE236016	GPR158 Activates Cellular Stress Responses in Trabecular Meshwork Cells of the E	10558	Homo sapiens	36	0	0	low	0.0			0	excluded: cell line
GSE256539	Digital Spatial Profiling identifies distinct molecular signatures of vascular l	30991	Homo sapiens	220	0	0	low	20.0			0	
GSE228750	Differential Expression Spectrum  of tRNA-Derived small RNAs in Idiopathic Pulmo	31223	Homo sapiens	6	3	3	high	65.0	patient	control|healthy	1	
GSE234085	Differential expression of lncRNA in peripheral blood lymphocytes of Xinjiang Ka	20115	Homo sapiens	12	0	0	low	0.0			0	excluded: lncrna
GSE221290	SNP rs9277336 Controls the ACTN4-HLA-DPA1 Axis and Pulmonary Endothelial Pathoph	23159	Homo sapiens	9	0	0	low	20.0			0	
GSE150317	Serum LncRNAs as Early Potential Biomarkers for the Prediction of Pregnancy-indu	21827	Homo sapiens	10	0	0	low	0.0			0	excluded: lncrna
GSE138991	Caveolin1 Deficiency: A Type I Endothelial Interferonopathy Associated with Pulm	15207	Homo sapiens	20	0	0	low	20.0			0	
GSE139286	MicroRNA 1253 regulation of WAVE2 and its relevance to health disparities in hyp	10558	Homo sapiens	11	0	0	low	0.0			0	excluded: microrna
GSE131793	Meta-analysis of Blood Genome-Wide Expression Profiling Studies in Pulmonary Art	6244	Homo sapiens	20	0	0	low	17.0			0	
GSE117261	Systems Analysis of the Human Pulmonary Arterial Hypertension Lung Transcriptome	6244	Homo sapiens	83	0	0	low	17.0			0	
GSE113439	Gene expression profiling of pulmonary arterial hypertension	6244	Homo sapiens	26	0	0	low	17.0			0	
GSE77627	Whole genome profiling of liver biopsies discloses potential biomarkers for diag	14951	Homo sapiens	54	0	0	low	17.0			0	
GSE108707	Epigenetic dysregulation of the Drp1 binding partners MiD49 and MiD51 increases 	21572	Homo sapiens; synthetic construct	9	0	0	low	0.0			0	excluded: microrna
GSE95431	MicroRNAs Modulate Oxidative Stress in Hypertension through PARP-1 Regulation	10558	Homo sapiens	9	0	0	low	17.0			0	
GSE76845	Expression profiling of long noncoding RNAs and mRNAs in human plasma of hyperte	13825	Homo sapiens	10	0	0	low	17.0			0	
GSE79786	Genome-wide analysis of gene expression in pericytes extracted from pulmonary at	10904	Homo sapiens	6	3	3	high	62.0	patient	control|donor	1	
GSE73674	Endothelial matrix-metalloproteinase-10 promotes pulmonary arterial hypertension	20982	Homo sapiens	70	0	0	low	17.0			0	
GSE75173	Changes in Gene Expression Profiles in Patients with Pulmonary Arterial Hyperten	15034	Homo sapiens	20	0	0	low	17.0			0	
GSE69601	Expression data from patients of idiopathic portal hypertension	6244	Homo sapiens	6	0	0	low	17.0			0	
GSE67492	Expression data from human heart right ventricular wall	6244	Homo sapiens	6	0	0	low	17.0			0	
67492	Heritable pulmonary arterial hypertension: cardiac right ventricular wall	6244	Homo sapiens	6	0	0	low	17.0			0	
GSE53408	Metabolomic heterogeneity of severe pulmonary arterial hypertension	6244	Homo sapiens	23	0	0	low	14.0			0	
GSE38783	Acute venous hypertension induces local release of inflammatory cytokines and en	570	Homo sapiens	24	0	0	low	14.0			0	
