gse_id	title	platform	organism	sample_total	case_n	control_n	confidence	quality_score	case_regex	control_regex	include	exclude_reason
GSE200572	Expression data from plasma of early-onset acute myocardial infarction patients 	23126	Homo sapiens	10	0	0	low	20.0			0	
GSE109048	Platelet gene expression profiling of acute myocardial infarction	17586	Homo sapiens	57	38	19	high	72.0	patient	donor|healthy	0	
GSE141512	Expression data for patients with myocardial infarction (MI) vs healthy patients	17586	Homo sapiens	12	0	0	low	17.0			0	
GSE123342	Peripheral blood whole transcriptome in patients with acute myocardial infarctio	17586	Homo sapiens	192	0	0	low	17.0			0	
GSE119515	Single cell RNA sequencing reveals a cardioprotective role for resident macropha	4133	Homo sapiens	18	0	0	low	17.0			0	
GSE109339	Prospective isolation of ISL1+ cardiac progenitors from human ESCs for myocardia	16699	Homo sapiens	8	0	0	low	0.0			0	excluded: rat
GSE24591	Gene and microRNA expression profiling of patients affected by first acute myoca	2895;8227	Homo sapiens	45	0	0	low	0.0			0	excluded: microrna
GSE24519	Gene expression profiling of patients affected by first acute myocardial infarct	2895	Homo sapiens	38	34	4	high	59.4	patient	control	0	
GSE83500	Expression data from aortic wall between myocardial infarction (MI) and non-MI g	13667	Homo sapiens	37	0	0	low	17.0			0	
GSE97320	Differential gene expression profiles in peripheral blood in Northeast Chinese H	570	Homo sapiens	6	0	0	low	17.0			0	
GSE61145	Identification of Novel Serum Biomarkers for Early Decision of ST-elevation Myoc	6106;6884	Homo sapiens	57	0	0	low	17.0			0	
GSE60993	Assessment and Diagnostic Relevance of Novel Serum Biomarkers for Early Decision	6884	Homo sapiens	33	0	0	low	17.0			0	
GSE66360	A Whole Blood Molecular Signature for the Identification of Acute Myocardial Inf	570	Homo sapiens	99	0	0	low	17.0			0	
GSE34198	Determinants of excess genetic risk of acute myocardial infarction – a matched c	6102	Homo sapiens	97	0	0	low	14.0			0	
GSE62646	Altered gene expression pattern in peripheral blood mononuclear cells in patient	6244	Homo sapiens	98	0	0	low	14.0			0	
GSE49925	Gene expression profiles associated with acute myocardial infarction and risk of	10558	Homo sapiens	338	0	0	low	14.0			0	
GSE48060	Transcriptome from circulating cells suggests dysregulated pathways associated w	570	Homo sapiens	52	31	21	high	72.5	patient	control|normal	1	
48060	First-time acute myocardial infarction: peripheral blood	570	Homo sapiens	52	31	21	high	72.5	patient	control|normal	1	
GSE28454	Temporal transcriptional changes in human monocytes following acute myocardial i	6883	Homo sapiens	76	0	0	low	14.0			0	
GSE29111	Characterisation of Myocardial Infarction and Unstable Angina with mRNA Profiles	570	Homo sapiens	52	0	0	low	14.0			0	
GSE291736	Extracellular BRICK1 drives heart repair after myocardial infarction	18573	Homo sapiens	15	0	0	low	20.0			0	
GSE278026	Platelets induce endothelial cell mitochondrial dysfunction in myocardial infarc	24676	Homo sapiens	52	0	0	low	0.0			0	excluded: in vitro
GSE272178	The Myocardial Infarction Platelet Transcriptome	24676	Homo sapiens	91	0	0	low	20.0			0	
GSE270788	Targeting Immune-Fibroblast Crosstalk in Myocardial Infarction and Cardiac Fibro	24676	Homo sapiens	46	0	0	low	0.0			0	excluded: mouse
GSE218392	Targeting Immune-Fibroblast Crosstalk in Myocardial Infarction and Cardiac Fibro	24676;24247	Homo sapiens; Mus musculus	120	0	0	low	20.0			0	
GSE218391	Targeting Immune-Fibroblast Crosstalk in Myocardial Infarction and Cardiac Fibro	24676	Homo sapiens	21	0	0	low	20.0			0	
GSE217494	Targeting Immune-Fibroblast Crosstalk in Myocardial Infarction and Cardiac Fibro	24676	Homo sapiens	44	0	0	low	20.0			0	
GSE269269	Single-Cell RNA Sequencing of Peripheral Blood Mononuclear Cells From Acute Myoc	24676	Homo sapiens	10	0	0	low	0.0			0	excluded: single-cell
GSE249812	Dynamic molecular signatures of acute myocardial infarction based on transcripto	24676	Homo sapiens	15	0	0	low	20.0			0	
GSE218474	Altered immune response and inflammation characterize patients with aortic valve	16288	Homo sapiens	110	0	0	low	20.0			0	
GSE229044	Peripheral blood mononuclear cell hyperresponsiveness in patients with premature	28038	Homo sapiens	20	10	10	high	80.0	patient	control	1	
GSE205622	Synthetic prostacyclin ONO-1301 Enhance Survival of Human Pluripotent Stem Cell-	24676	Homo sapiens	6	0	0	low	0.0			0	excluded: rat
GSE194388	Differential expression of extracellular vesicles-derived long RNA sequencing of	24676	Homo sapiens	15	0	0	low	20.0			0	
GSE212181	Comprehensive analysis of the RNA transcriptome expression profiles and construc	18573	Homo sapiens	10	0	0	low	20.0			0	
GSE196469	Knockdown of miR-192 and miR-432 in progenitor cell-derived small extracellular 	25947;24676	Rattus norvegicus; Homo sapiens	36	0	0	low	0.0			0	excluded: in vitro
GSE215801	Blood milieu in acute myocardial infarction reprograms human macrophages for tra	18573	Homo sapiens	12	0	0	low	20.0			0	
GSE172270	Systemic environment in acute myocardial infarction programs human macrophages f	18573	Homo sapiens	67	47	20	high	73.5	patient	control	1	
GSE220865	Development of a potency test assay for CD34+ cell-based for acute myocardial in	20301	Homo sapiens	15	8	7	high	72.5	patient	healthy	1	
GSE213144	Different expression profiles and bioinformatics analysis of circular RNAs betwe	24676	Homo sapiens	56	0	0	low	20.0			0	
GSE207882	tRNA-derived Small RNAs and their Potential Roles in the Therapeutic Heterogenei	18573	Homo sapiens	10	0	0	low	20.0			0	
GSE214611	Single Cell Spatial Transcriptomics Redefines the Borderzone induced by Myocardi	24247;24676	Homo sapiens; Mus musculus	32	0	0	low	0.0			0	excluded: single-cell
GSE159657	The alteration of circulating exosomal mRNAs in acute myocardial infarction is a	24676	Homo sapiens	28	0	0	low	20.0			0	
GSE180765	MiR-124 attenuates angiogenesis via the p38/MAPK and PI3K/AKT signaling pathways	20795	Homo sapiens	6	0	0	low	0.0			0	excluded: microrna
GSE168281	Uncovering potential lncRNAs and mRNAs in progression from acute myocardial infa	11154	Homo sapiens	9	0	0	low	0.0			0	excluded: lncrna
GSE166780	Gene expression analysis suggests immunological changes of peripheral blood mono	20795	Homo sapiens	24	8	8	medium	67.0	lesion	normal	0	
GSE154294	Transferrin improved the generation of cardiomyocyte from human pluripotent stem	20795	Homo sapiens	14	0	0	low	0.0			0	excluded: rat
GSE132146	Single cell RNA-seq analysis reveals the crucial role of Collagen triple helix r	18573;20983;19057	Sus scrofa; Homo sapiens; Mus musculus	202	52	38	low	64.6	infarct|patient	control|healthy	0	
GSE132143	Single cell RNA-seq analysis reveals the crucial role of Collagen triple helix r	18573;20983;19057	Mus musculus; Homo sapiens; Sus scrofa	185	0	0	low	0.0			0	excluded: murine
GSE103182	Whole blood transcriptional profiling by RNA sequencing in patients with ST-elev	16288	Homo sapiens	30	0	0	low	20.0			0	
GSE115031	Cardiac organoid model of human myocardial infarction (batch2)	16791	Homo sapiens	6	3	3	high	65.0	infarct	control	0	
GSE113871	Cardiac organoid model of human myocardial infarction	16791	Homo sapiens	6	3	3	high	65.0	infarct	control	0	
GSE147470	AMPKα1 deletion in myofibroblasts exacerbates post myocardial infarction fibrosi	24676	Homo sapiens	10	0	0	low	20.0			0	
GSE127853	Increase in innate lymphoid cells during acute ST-segment elevated myocardial in	20795	Homo sapiens	6	3	3	high	65.0	patient	control	0	
GSE65705	Characterization of the platelet transcriptome by RNA sequencing in patients wit	11154	Homo sapiens	34	0	0	low	17.0			0	
