gse_id	title	platform	organism	sample_total	case_n	control_n	confidence	quality_score	case_regex	control_regex	include	exclude_reason
GSE250522	Genetic regulation and targeted reversal of lysosomal dysfunction and inflammato	23126	Homo sapiens	12	0	0	low	20.0			0	
GSE256539	Digital Spatial Profiling identifies distinct molecular signatures of vascular l	30991	Homo sapiens	220	0	0	low	20.0			0	
GSE228750	Differential Expression Spectrum  of tRNA-Derived small RNAs in Idiopathic Pulmo	31223	Homo sapiens	6	3	3	high	65.0	patient	control|healthy	1	
GSE221290	SNP rs9277336 Controls the ACTN4-HLA-DPA1 Axis and Pulmonary Endothelial Pathoph	23159	Homo sapiens	9	0	0	low	20.0			0	
GSE138991	Caveolin1 Deficiency: A Type I Endothelial Interferonopathy Associated with Pulm	15207	Homo sapiens	20	0	0	low	20.0			0	
GSE131793	Meta-analysis of Blood Genome-Wide Expression Profiling Studies in Pulmonary Art	6244	Homo sapiens	20	0	0	low	17.0			0	
GSE117261	Systems Analysis of the Human Pulmonary Arterial Hypertension Lung Transcriptome	6244	Homo sapiens	83	0	0	low	17.0			0	
GSE113439	Gene expression profiling of pulmonary arterial hypertension	6244	Homo sapiens	26	0	0	low	17.0			0	
GSE108707	Epigenetic dysregulation of the Drp1 binding partners MiD49 and MiD51 increases 	21572	Homo sapiens; synthetic construct	9	0	0	low	0.0			0	excluded: microrna
GSE73674	Endothelial matrix-metalloproteinase-10 promotes pulmonary arterial hypertension	20982	Homo sapiens	70	0	0	low	17.0			0	
GSE75173	Changes in Gene Expression Profiles in Patients with Pulmonary Arterial Hyperten	15034	Homo sapiens	20	0	0	low	17.0			0	
GSE67492	Expression data from human heart right ventricular wall	6244	Homo sapiens	6	0	0	low	17.0			0	
67492	Heritable pulmonary arterial hypertension: cardiac right ventricular wall	6244	Homo sapiens	6	0	0	low	17.0			0	
GSE53408	Metabolomic heterogeneity of severe pulmonary arterial hypertension	6244	Homo sapiens	23	0	0	low	14.0			0	
GSE21284	A critical role of microRNAs in human pulmonary arterial hypertension. miR-204: 	10305;4133	Homo sapiens	8	0	0	low	14.0			0	
GSE2559	Effect of BMP-2 on Pulmonary Artery Smooth Muscle Cells from Patients with Idiop	8300	Homo sapiens	7	0	0	low	11.0			0	
2559	Bone morphogenic protein 2 effect on idiopathic pulmonary arterial hypertension	8300	Homo sapiens	7	0	0	low	11.0			0	
GSE703	Blood pulmonary arterial hypertension	80	Homo sapiens	20	0	0	low	11.0			0	
703	Pulmonary arterial hypertension and PBMC	80	Homo sapiens	20	0	0	low	11.0			0	
GSE272776	Integration of transcriptomics, proteomics, phosphoproteomics analysis for chara	24676	Homo sapiens	16	0	0	low	20.0			0	
GSE303084	Pressure Points: Endothelial Responses to Hemodynamic Stress in Health and Pulmo	30173	Homo sapiens	72	0	0	low	20.0			0	
GSE199764	E-cigarettes induce dysregulation of autophagy leading to endothelial dysfunctio	24676	Homo sapiens	8	0	0	low	20.0			0	
GSE277556	Exploring Integrin α5β1 as a Potential Therapeutic Target for Pulmonary Arterial	24676	Homo sapiens	20	0	0	low	20.0			0	
GSE263226	Unravelling AURKB as a potential therapeutic target in pulmonary arterial hypert	24676	Homo sapiens	31	0	0	low	20.0			0	
GSE274053	microRNA-637/661 ameliorate hypoxic induced pulmonary arterial hypertension by t	16791	Homo sapiens	9	0	0	low	0.0			0	excluded: microrna
GSE277919	Characteristic disease defects in circulating endothelial cells isolated from pa	16791	Homo sapiens	18	8	5	medium	59.5	patient	control	1	
GSE254617	Integrative Multiomics in the Lung Reveals a Protective Role of Asporin in Pulmo	21290	Homo sapiens	148	0	0	low	0.0			0	excluded: single-cell
GSE233189	Single Cell RNA sequencing of the Monocytes from controls and pulmonary arterial	20301	Homo sapiens	12	0	0	low	20.0			0	
GSE207101	Effect of HNRNPA2B1 inhibition in pulmonary arterial smooth muscle cell from pul	21290	Homo sapiens	6	0	0	low	20.0			0	
GSE194080	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573	Homo sapiens	24	0	0	low	20.0			0	
GSE194079	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573	Homo sapiens	9	0	0	low	20.0			0	
GSE193776	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573	Homo sapiens	8	0	0	low	20.0			0	
GSE144936	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573;17303	Homo sapiens	42	0	0	low	20.0			0	
GSE144932	Epigenome-wide profiling uncovers novel pathway networks in human pulmonary arte	18573	Homo sapiens	8	0	0	low	20.0			0	
GSE164493	Single Cell RNA sequencing of the Dendritic Cells from controls and pulmonary ar	20301	Homo sapiens	7	0	0	low	20.0			0	
GSE185479	Single-cell mRNAseq human pulmonary arterial endothelial cells in healthy and pu	16791	Homo sapiens	6	0	0	low	0.0			0	excluded: single-cell
GSE169045	iPSC-endothelial cell phenotypic drug screening and in silico analyses identify 	20301	Homo sapiens	36	0	0	low	0.0			0	excluded: rat
GSE169471	Transcriptional profiling of lung cell populations in idiopathic pulmonary arter	20795;18573	Homo sapiens	11	0	0	low	20.0			0	
GSE126325	Remodeling of active endothelial enhancers is associated with aberrant gene-regu	11154;20301	Homo sapiens	73	0	0	low	20.0			0	
GSE126262	Remodeling of active endothelial enhancers is associated with aberrant gene-regu	20301	Homo sapiens	18	0	0	low	0.0			0	excluded: chip-seq
GSE79613	iPSCs Reveal Protective Modifiers of the BMPR2 mutation in Pulmonary Arterial Hy	11154	Homo sapiens	11	0	0	low	17.0			0	
