gse_id	title	platform	organism	sample_total	case_n	control_n	confidence	quality_score	case_regex	control_regex	include	exclude_reason
GSE317880	Expression data from Heatstroke patients	36562	Homo sapiens	55	0	0	low	20.0			0	
GSE160899	Does heat stroke induces heat intolerance?: What genes tell us	29366	Homo sapiens	11	0	0	low	20.0			0	
GSE214644	Regeneration of the cerebral cortex by direct chemical reprogramming of macropha	23159	Homo sapiens	12	0	0	low	20.0			0	
GSE195442	Profile of plasma exosome-derived circrnas from acute ischemic stroke patients c	31275	Homo sapiens	20	0	0	low	0.0			0	excluded: mirna
GSE162955	Expression data from stroke patients brain samples	17586	Homo sapiens	12	0	0	low	20.0			0	
GSE124026	Expression data from stroke patients blood samples	5175	Homo sapiens	11	0	0	low	17.0			0	
GSE66724	Hsp70 protects from stroke in atrial fibrillation patients by preventing thrombo	570	Homo sapiens	16	0	0	low	17.0			0	
GSE72642	Genomic profiles for human peripheral blood T cells, B cells, natural killer cel	570	Homo sapiens	18	0	0	low	17.0			0	
GSE37587	Gene Expression Profiling of Ischemic Stroke at 0-24 hours and 24-48 hours after	6883	Homo sapiens	68	0	0	low	17.0			0	
GSE58294	Gene Expression Following Cardioembolic Stroke	570	Homo sapiens	92	0	0	low	14.0			0	
GSE46269	miRNAs involved in regulating embolic stroke recovery following spontaneous repe	17042;6101	Homo sapiens; Human betaherpesvirus 5; Murid betaherpesvirus 1; Human immunodeficiency virus 1; Rattus norvegicus; JC polyomavirus; Murid gammaherpesvirus 4; Betapolyomavirus hominis; Mus musculus; Human gammaherpesvirus 8; Human alphaherpesvirus 1; human gammaherpesvirus 4; Betapolyomavirus macacae	22	0	0	low	14.0			0	
GSE22255	Blood genomic expression profile for ischemic stroke (IS)	570	Homo sapiens	40	0	0	low	14.0			0	
22255	Ischemic stroke: peripheral blood mononuclear cells	570	Homo sapiens	40	0	0	low	14.0			0	
GSE16561	Gene expression analysis of peripheral whole blood RNA following ischemic stroke	6883	Homo sapiens	63	0	0	low	14.0			0	
GSE9877	Genetic Endothelial Systems Biology of Sickle Stroke Risk	96	Homo sapiens	47	0	0	low	11.0			0	
GSE9391	Gene expression in brain following stroke	127	Homo sapiens	6	0	0	low	11.0			0	
GSE296028	Ischemic stroke of different etiologies undergoing mechanical thrombectomy	30173	Homo sapiens	30	0	0	low	20.0			0	
GSE306533	High rate triggers increased atrial release of BMP10, a biomarker for atrial fib	30173	Homo sapiens	10	0	0	low	20.0			0	
