gse_id	title	platform	organism	sample_total	case_n	control_n	confidence	quality_score	case_regex	control_regex	include	exclude_reason
GSE59526	Affymetrix Chip data of the transcriptome of human clinical study for acupunctur	570	Homo sapiens	18	0	0	low	20.0			0	
GSE243821	LncRNA of human Fibroblast-like synoviocytes of rheumatoid arthritis and osteoar	24592	Homo sapiens	6	0	0	low	0.0			0	excluded: lncrna
GSE224842	Gene expression profiles of peripheral blood mononuclear cells before abatacept 	6480	Homo sapiens	30	0	0	low	20.0			0	
GSE224330	Gene expression of monocytes from rheumatoid arthritis patients treated with bDM	21185	Homo sapiens	31	0	0	low	20.0			0	
GSE205962	Expression data from whole blood sample of eight kinds of TCM syndromes of rheum	16043	Homo sapiens	20	0	0	low	20.0			0	
GSE206848	Dysregulated gene expression in human osteoarthritic (OA) and rheumatoid arthrit	570	Homo sapiens	16	0	0	low	20.0			0	
GSE176440	Gene expression profiles of CD4+ T cells before and after methotrexate treatment	6480	Homo sapiens	56	0	0	low	20.0			0	
GSE197057	Expression data (U133 Plus 2.0) from fibroblast like synoviocytes from patients 	570	Homo sapiens	8	0	0	low	20.0			0	
GSE172188	Rheumatoid arthritis synovium response to abatacept	570	Homo sapiens	20	0	0	low	20.0			0	
GSE181614	RNA Sequencing facilitates quantitative analysis of lncRNA and mRNA expression i	16956	Homo sapiens	10	0	0	low	0.0			0	excluded: lncrna
GSE97948	RA-MAP: mapping the molecular immunological landscape in early rheumatoid arthri	10904	Homo sapiens	1126	0	0	low	20.0			0	
GSE97810	RA-MAP: mapping molecular immunological landscapes in early rheumatoid arthritis	10904	Homo sapiens	1068	0	0	low	20.0			0	
GSE97476	RA-MAP: mapping molecular immunological landscapes in early rheumatoid arthritis	10904;11154	Homo sapiens	5066	0	0	low	20.0			0	
GSE97475	RA-MAP: mapping molecular immunological landscapes in early rheumatoid arthritis	10904	Homo sapiens	158	0	0	low	20.0			0	
GSE80785	Gene expressions of CD4+ T cells from patients with rheumatoid arthritis in each	570	Homo sapiens	24	0	0	low	20.0			0	
GSE166389	Genes regulated by both of Ten-Eleven translocation 3 and Tumor necrosis factor 	23159	Homo sapiens	12	0	0	low	0.0			0	excluded: methylation
GSE153015	Comparison of gene expression profiles in paired synovial biopsies from rheumato	570	Homo sapiens	24	0	0	low	20.0			0	
GSE91079	Gene expression fluctuation in Abatacept treated Rheumatoid Arthritis patients b	4133	Homo sapiens	19	0	0	low	20.0			0	
GSE153378	Expression data (U133 Plus 2.0) from fibroblast like synoviocytes from patients 	570	Homo sapiens	8	0	0	low	20.0			0	
GSE140036	Microarray analysis of the synovial membrane of rheumatoid arthritis patients un	8234	Homo sapiens	11	0	0	low	20.0			0	
GSE121894	Gene expression profile of endothelial cells derived from circulating progenitor	25734	Homo sapiens	58	0	0	low	20.0			0	
GSE53221	RF003-V3: Glucocorticoid-responsiveness correlates with an Interferon signature 	13384	Homo sapiens	19	0	0	low	20.0			0	
GSE120785	Gene expression from fibroblast-like synoviocytes (FLS) of three patients with r	21185	Homo sapiens	8	0	0	low	17.0			0	
GSE132832	Impaired ATM Activation in B Cells Promotes Osteoclastogenic Cytokine Production	570	Homo sapiens	8	0	0	low	0.0			0	excluded: mouse
GSE84074	Rheumatoid arthritis and response to LLDT-8: Fibroblast-like Synoviocytes	19640	Homo sapiens	10	0	0	low	0.0			0	excluded: lncrna
GSE47726	Genome-wide transcriptional analysis of synovial tissue gene expression associat	8234	Homo sapiens	11	0	0	low	17.0			0	
GSE131866	IL-6 mediated transcriptional programming of CD4+ T cells in early rheumatoid ar	10558	Homo sapiens	42	0	0	low	17.0			0	
GSE126476	Gene expression analysis of vascular pathophysiology related to anti-TNF treatme	15207	Homo sapiens	19	0	0	low	17.0			0	
GSE38064	Expression data of subtypes of inflamed synovia from patients with rheumatoid ar	570	Homo sapiens	12	0	0	low	17.0			0	
GSE103578	lncRNA and mRNA expression profiles in fibroblast-like synoviocytes from rheumat	15314	Homo sapiens	6	0	0	low	0.0			0	excluded: lncrna
GSE118958	Expression data (U133 Plus 2.0) from fibroblast like synoviocytes from patients 	570	Homo sapiens	8	0	0	low	17.0			0	
GSE93777	Multi-omics monitoring of drug response in rheumatoid arthritis.	570	Homo sapiens	448	0	0	low	17.0			0	
GSE93776	Immune cells gene expression from rheumatoid arthritis and healthy donors	570	Homo sapiens	173	0	0	low	17.0			0	
GSE93272	Whole blood gene expression of rheumatoid arthritis	570	Homo sapiens	275	0	0	low	17.0			0	
